ISO_C3,start,end,avg,trend_annual,Pvalue
MOZ,24.55362285783592,25.179041889934105,25.12005750213867,0.008248346340510153,4.0079940456295835e-13
MRT,28.723808261870502,29.55213043381516,29.402224027088973,0.00999527710745574,4.571896340172595e-17
MWI,23.091157896672303,23.674611608519246,23.652314792093332,0.007859386285279858,8.891940099209504e-10
MYS,26.375036599540213,26.959670475496367,26.867672698457195,0.007732013084832137,4.6289406424006234e-18
NAM,22.91252583940892,23.754624724063916,23.626805475894617,0.010647644297559981,3.4458484171353325e-12
NER,29.0510260389531,29.96425635862778,29.781731213679475,0.010621858338363053,8.423355827150968e-14
NGA,26.900904395854653,27.64863675286652,27.507901823534727,0.009402456787710057,1.1158719670351907e-17
NIC,26.52616346354393,27.164877889628066,27.031367663828163,0.009438823824155534,4.177603957892696e-17
NLD,10.96272119376197,11.45911412632002,11.426340210892727,0.006366431557685201,2.282349207801353e-5
NOR,3.7868536876550585,4.5661040674650355,4.481109378119858,0.010452892888079162,2.2201121477087245e-11
NPL,15.710716420449955,16.618693875324837,16.38303765548716,0.011982099024785933,1.1390035297629044e-19
NZL,14.478005664051736,15.046880432810894,14.91854843633952,0.007007133743307666,6.105669887137417e-18
OMN,28.952691831323854,29.796981409542294,29.62842270102779,0.00989180530178306,1.4123446424705932e-17
PAK,21.73369314806574,22.6138299376797,22.465197098668746,0.012488333340805432,1.419838264666483e-17
PAN,26.963161332665727,27.563215024809836,27.443896209498448,0.008243326304686646,8.869648797518685e-19
PER,17.81068130929788,18.573117432122686,18.43537880140294,0.010380196300882539,6.940092855420505e-17
PHL,27.01253515646207,27.483970232646154,27.41800972489325,0.006297438367065735,7.211775413377378e-14
PNG,24.51212254034808,25.02788485225662,24.943813950462033,0.006542199405915685,3.300698023674003e-19
POL,9.36629717608316,10.148273841915547,10.001210303416617,0.010643238979393546,8.886349580275386e-11
PRK,8.704110010006248,9.725325537683194,9.550201929096339,0.012545491915068258,2.0397872110506677e-15
PRT,16.19062444860996,16.98549554677242,16.858655233886715,0.010072783244250545,1.9892960680060396e-14
PRY,23.721857215662347,24.672779466309127,24.533310717049403,0.011159334564239062,1.7346480634092863e-12
ROU,11.29638363526019,12.059575765060837,11.900916511187788,0.01058241389268776,7.985172733860406e-9
RUS,5.013776402437216,6.0139957536431154,5.909571772411658,0.013325578456270335,1.606447417605136e-12
RWA,20.60464031159117,21.227337764420955,21.14402094503696,0.008234653788396013,2.5172910949345487e-15
SAU,27.4168382400475,28.257110467840135,28.150178960356754,0.009999663675647268,1.154954424007e-14
SDN,29.932433636115604,30.750149249561744,30.62914659352024,0.010529403692683108,1.8048625178334895e-14
SEN,27.93271160035226,28.714609895331005,28.55809792131462,0.009854400841139558,3.353399621492327e-19
SLB,28.365530797401902,28.862170837451433,28.797436039583253,0.006320068706309514,1.930894690200257e-17
SLE,26.19184959873908,26.84515423134734,26.738653652301576,0.00856828311196204,6.280335604192794e-18
SOM,28.619061146328715,29.152155427760228,29.06342557195099,0.007534414540483434,1.2448297398745012e-18
SRB,12.167067800203187,12.806520494154178,12.646077341099373,0.009034924069730554,8.234957896424865e-7
SSD,28.36605568152403,29.09487234168403,28.995011693192158,0.009621380999937819,3.968846887061365e-15
SUR,27.588683939264705,28.393048278169427,28.27566683274468,0.011080093223103524,4.104682267189683e-13
SVK,10.000763100966601,10.781429591463809,10.601655505057442,0.010567394877570411,3.93396775452526e-10
SWE,6.82081203219211,7.699920233379687,7.5856786421267675,0.011378508708446276,1.2316634710354673e-11
SWZ,19.30833520138036,19.712197716776384,19.745652381037598,0.006697433404502286,2.691104981413255e-7
SYR,19.51791332410674,20.36761148103453,20.20473254833684,0.010035607732667368,2.573961793198199e-12
TCD,28.909975583047697,29.709854034515534,29.576649115728138,0.010204351311626378,1.9753663906680028e-14
TGO,27.483921217358127,28.162316839119512,28.03078777873343,0.008771250567792821,5.170077284601175e-19
THA,26.172587628070815,27.07872722125794,26.86824080494479,0.011107846760970074,4.877552821779889e-19
TJK,3.8421579530997976,4.546178634630187,4.448379036815495,0.010323262586327415,2.3856473599250434e-11
TKM,17.547387956018376,18.463627476472787,18.289673089749922,0.012454050547115306,3.7341097954229015e-15
TUN,19.986810984613754,20.856813496496486,20.57487339635671,0.01033083330560299,1.168497167729319e-16
TUR,13.875080317372092,14.710213624994129,14.562181699493934,0.010320626812974512,7.068898561653829e-12
TWN,23.727093845440372,24.314028176069083,24.211178926858537,0.007350505672151306,2.2374366025978927e-15
TZA,23.603850428211345,24.228839224548356,24.142879886304076,0.007974830127802056,5.078025211843208e-16
UGA,23.419339807127855,24.065443876794244,23.971754655323707,0.00795261422754787,1.6282908130884618e-15
UKR,10.78331754562607,11.620360612039065,11.485594881163353,0.011225408083966888,5.141030595722999e-9
URY,18.21301179683685,18.77953962840893,18.67232121687626,0.006173501946913876,2.4132549728184097e-10
USA,14.458622637231063,15.389776158513623,15.243241250105989,0.010473427419175204,7.282067976869783e-15
UZB,13.01218204656098,13.92038784704072,13.743343200272935,0.012604680644872183,9.295852614683356e-16
VEN,27.14766957229342,27.900968733758486,27.806025923459437,0.010703555438363967,1.2490308096709677e-14
VNM,24.785896979394117,25.683843580904945,25.48390548576463,0.010723707709387078,4.817390429484612e-18
VUT,26.36781641642255,26.750019836425803,26.71797430348953,0.005130637696564081,1.856196429548512e-4
YEM,26.00594605308996,26.81280143194292,26.66464593201803,0.010657550135753159,1.8383175372218888e-16
ZAF,18.719724727714368,19.399311520081344,19.259543812834885,0.0093810744523283255,1.6032242783857843e-16
ZMB,22.460411886913736,23.11743574451203,23.062115586671055,0.009379894650129604,1.0140174795737029e-13
ZWE,21.943438796654775,22.596732285180686,22.565141237947945,0.0091120354006476,2.9991503886940195e-10
