year,estimator,L,cap,delta_bhm,delta_popgrowth
2045,IFE,0,no cap,-0.04077932726288502,-0.08228273398509156
2046,IFE,0,no cap,-0.0445706319496707,-0.08903298124583847
2047,IFE,0,no cap,-0.04848415869489475,-0.0960231116551189
2048,IFE,0,no cap,-0.05258236256793436,-0.1032492706738023
2049,IFE,0,no cap,-0.05686627739746408,-0.11070735280886923
2050,IFE,0,no cap,-0.061336729137148494,-0.11839300507266226
2051,IFE,0,no cap,-0.06572119219549677,-0.12636537381217228
2052,IFE,0,no cap,-0.07047853622587275,-0.13455684028536574
2053,IFE,0,no cap,-0.07541321940356671,-0.14296223287151955
2054,IFE,0,no cap,-0.08052482377142456,-0.15157614918757079
2055,IFE,0,no cap,-0.08581273191842653,-0.16039296207811138
2056,IFE,0,no cap,-0.09058606931490731,-0.1694562465651801
2057,IFE,0,no cap,-0.09609088223096973,-0.17871087482959336
2058,IFE,0,no cap,-0.10175656063994187,-0.1881505082673588
2059,IFE,0,no cap,-0.10758129012170858,-0.1977686113847983
2060,IFE,0,no cap,-0.11356307811608235,-0.20755846014091928
2061,IFE,0,no cap,-0.11848272462335252,-0.21754966697880096
2062,IFE,0,no cap,-0.12459029335925076,-0.2276986637492563
2063,IFE,0,no cap,-0.1308342004374896,-0.23799815943809766
2064,IFE,0,no cap,-0.1372114611592372,-0.24844071182057104
2065,IFE,0,no cap,-0.14371895174593874,-0.25901873778335893
2066,IFE,0,no cap,-0.1486945753657849,-0.26975342783424694
2067,IFE,0,no cap,-0.15526894380479206,-0.28060790400997804
2068,IFE,0,no cap,-0.16195205996966078,-0.2915741836600333
2069,IFE,0,no cap,-0.16874013597789594,-0.30264418787492864
2070,IFE,0,no cap,-0.17562929156667995,-0.31380975326013927
2071,IFE,0,no cap,-0.18047488599811734,-0.3250814564028508
2072,IFE,0,no cap,-0.187380504822946,-0.33643201669477163
2073,IFE,0,no cap,-0.19436675629877154,-0.3478530637156372
2074,IFE,0,no cap,-0.20142942670598907,-0.3593361917859792
2075,IFE,0,no cap,-0.20856425736102857,-0.3708729725235891
2076,IFE,0,no cap,-0.2130811516156843,-0.3824576154341499
2077,IFE,0,no cap,-0.22019119491189965,-0.3940790574256545
2078,IFE,0,no cap,-0.22735501321235496,-0.405728872687644
2079,IFE,0,no cap,-0.23456827726926832,-0.41739866314913243
2080,IFE,0,no cap,-0.2418266551099686,-0.4290800710523732
2081,IFE,0,no cap,-0.24584721637719076,-0.4407544716305726
2082,IFE,0,no cap,-0.25302114839433953,-0.45242426853966744
2083,IFE,0,no cap,-0.26022302897097005,-0.46408130680390014
2084,IFE,0,no cap,-0.26744865053654343,-0.47571752009086965
2085,IFE,0,no cap,-0.27469383785999657,-0.48732494253783976
2086,IFE,0,no cap,-0.2782126962673296,-0.4988761823305071
2087,IFE,0,no cap,-0.28533545588179343,-0.5103836999245052
2088,IFE,0,no cap,-0.29246293119496614,-0.5218399111195147
2089,IFE,0,no cap,-0.2995912161888482,-0.5332373754305171
2090,IFE,0,no cap,-0.3067164631411464,-0.5445688064671842
2091,IFE,0,no cap,-0.30965319928504453,-0.5557997892611632
2092,IFE,0,no cap,-0.3166279732448817,-0.5669516997060018
2093,IFE,0,no cap,-0.32358739025972727,-0.5780177825400824
2094,IFE,0,no cap,-0.33052796926172456,-0.5889914721399356
2095,IFE,0,no cap,-0.3374463048526324,-0.5998664008743868
2096,IFE,0,no cap,-0.3396762523426251,-0.610603018530891
2097,IFE,0,no cap,-0.3463845977216512,-0.621230188480452
2098,IFE,0,no cap,-0.35306008751812,-0.6317421859004969
2099,IFE,0,no cap,-0.35969977509878404,-0.6421335098874517
2100,IFE,0,no cap,-0.36630079875769384,-0.652398889376337
2021,IFE,0,30 C cap,-7.469157774575574e-5,-2.3171497871610214e-4
2022,IFE,0,30 C cap,-2.3033108799375146e-4,-6.97582987895129e-4
2023,IFE,0,30 C cap,-4.731004818310236e-4,-0.001399875323649935
2024,IFE,0,30 C cap,-8.086578919819232e-4,-0.002338257632099494
2025,IFE,0,30 C cap,-0.0012422446155825329,-0.0035106081943646616
2026,IFE,0,30 C cap,-0.0018287301077531959,-0.00494384759699773
2027,IFE,0,30 C cap,-0.002493835612123907,-0.006618306796795981
2028,IFE,0,30 C cap,-0.0032774842901536205,-0.008535332447729527
2029,IFE,0,30 C cap,-0.004185347498381176,-0.010696077098900192
2030,IFE,0,30 C cap,-0.005222958137948264,-0.013101494745995756
2031,IFE,0,30 C cap,-0.006502836524193367,-0.015795255305601996
2032,IFE,0,30 C cap,-0.007832042248824056,-0.01873800552033933
2033,IFE,0,30 C cap,-0.009300818627986929,-0.02192859141162684
2034,IFE,0,30 C cap,-0.010914110793310172,-0.02536645113952174
2035,IFE,0,30 C cap,-0.012676408070598333,-0.029051019054808003
2036,IFE,0,30 C cap,-0.014753852806627554,-0.03304185273949334
2037,IFE,0,30 C cap,-0.01683913174813989,-0.037279014621641626
2038,IFE,0,30 C cap,-0.01908514669066841,-0.04176040623105748
2039,IFE,0,30 C cap,-0.02149589337350477,-0.046483729607780355
2040,IFE,0,30 C cap,-0.024075220143266685,-0.051446656379710576
2041,IFE,0,30 C cap,-0.026966178019099396,-0.05670897960353083
2042,IFE,0,30 C cap,-0.02988087848499077,-0.06220562496655657
2043,IFE,0,30 C cap,-0.03296940972347362,-0.06793458930155283
2044,IFE,0,30 C cap,-0.036234555680153324,-0.073893644333336
2045,IFE,0,30 C cap,-0.03967889665107238,-0.0800803369762294
2046,IFE,0,30 C cap,-0.04330175149424498,-0.08655432483773273
2047,IFE,0,30 C cap,-0.04706941779001961,-0.09325148024438579
2048,IFE,0,30 C cap,-0.05101564730202812,-0.10016859688378998
2049,IFE,0,30 C cap,-0.05514182334815265,-0.10730224642217334
2050,IFE,0,30 C cap,-0.059449112693932604,-0.11464878081481933
2051,IFE,0,30 C cap,-0.06362880463966591,-0.12225683545282184
2052,IFE,0,30 C cap,-0.06820815391350377,-0.13007033142267932
2053,IFE,0,30 C cap,-0.07295971803264478,-0.13808370577100726
2054,IFE,0,30 C cap,-0.07788328049213811,-0.1462921223029484
2055,IFE,0,30 C cap,-0.08297799764061464,-0.15469069772027355
2056,IFE,0,30 C cap,-0.08752264869606119,-0.16331162277106548
2057,IFE,0,30 C cap,-0.09282064960943515,-0.17211256122319551
2058,IFE,0,30 C cap,-0.09827471081041883,-0.1810881704281765
2059,IFE,0,30 C cap,-0.10387957624921185,-0.19022807094387006
2060,IFE,0,30 C cap,-0.10963292236690292,-0.1995251633519961
2061,IFE,0,30 C cap,-0.11430167718070694,-0.2089963916979205
2062,IFE,0,30 C cap,-0.12016831226180191,-0.21861194117982297
2063,IFE,0,30 C cap,-0.12616532016592363,-0.22836579171534688
2064,IFE,0,30 C cap,-0.1322903959929449,-0.23825140360063402
2065,IFE,0,30 C cap,-0.1385411142541384,-0.24826255050310886
2066,IFE,0,30 C cap,-0.14326370661970567,-0.25840732636893715
2067,IFE,0,30 C cap,-0.1495805877639088,-0.26866458734207055
2068,IFE,0,30 C cap,-0.15600410821641564,-0.2790278008909399
2069,IFE,0,30 C cap,-0.1625310009968266,-0.28949033891998277
2070,IFE,0,30 C cap,-0.16915709529856315,-0.30004360564107335
2071,IFE,0,30 C cap,-0.17377796195013484,-0.31068452065604923
2072,IFE,0,30 C cap,-0.18041887318882954,-0.3213843043728295
2073,IFE,0,30 C cap,-0.18713140969959074,-0.33213623456651686
2074,IFE,0,30 C cap,-0.19391196450486148,-0.34293395759880585
2075,IFE,0,30 C cap,-0.2007568338212371,-0.3537711419149856
2076,IFE,0,30 C cap,-0.20505353646436308,-0.36462666955305023
2077,IFE,0,30 C cap,-0.2118718176643255,-0.3755085095182933
2078,IFE,0,30 C cap,-0.2187387297662987,-0.3864106239053624
2079,IFE,0,30 C cap,-0.22565048291593204,-0.3973265191012696
2080,IFE,0,30 C cap,-0.23260335046630287,-0.4082500901875954
2081,IFE,0,30 C cap,-0.2364190495386007,-0.4191454552639742
2082,IFE,0,30 C cap,-0.24328855538108496,-0.4300333170138315
2083,IFE,0,30 C cap,-0.25018304230599764,-0.4409063766356124
2084,IFE,0,30 C cap,-0.2570989287840806,-0.45175907605349586
2085,IFE,0,30 C cap,-0.2640326323587723,-0.4625859039746222
2086,IFE,0,30 C cap,-0.2673573242197893,-0.4733350987564523
2087,IFE,0,30 C cap,-0.27416320765968616,-0.48404105380643114
2088,IFE,0,30 C cap,-0.28096949664419957,-0.4946989068810723
2089,IFE,0,30 C cap,-0.28777309327047573,-0.5053037408772239
2090,IFE,0,30 C cap,-0.2945694664036045,-0.5158470255786707
2091,IFE,0,30 C cap,-0.2973183997555855,-0.5262729727970838
2092,IFE,0,30 C cap,-0.30396170381532106,-0.5366263851184311
2093,IFE,0,30 C cap,-0.31057722720468783,-0.5468676578623877
2094,IFE,0,30 C cap,-0.3171598392274333,-0.5569835449053616
2095,IFE,0,30 C cap,-0.32370669431083055,-0.5669699518167133
2096,IFE,0,30 C cap,-0.32573815904454595,-0.5767767898589364
2097,IFE,0,30 C cap,-0.3320637061236039,-0.5864542858703772
2098,IFE,0,30 C cap,-0.3383486915244832,-0.5960019734794064
2099,IFE,0,30 C cap,-0.3445918795525139,-0.6054194244470517
2100,IFE,0,30 C cap,-0.35079164962569565,-0.6147028670694998
2021,IFE,1,no cap,-1.469976883595736e-4,-3.351956203113682e-4
2022,IFE,1,no cap,-4.4701310053707477e-4,-9.312672363589458e-4
2023,IFE,1,no cap,-9.044512020423001e-4,-0.0017896879325574044
2024,IFE,1,no cap,-0.001523636446462917,-0.0029117143074213203
2025,IFE,1,no cap,-0.002308802698992918,-0.004298382313490334
2026,IFE,1,no cap,-0.0033028288075861445,-0.0059717925000561944
2027,IFE,1,no cap,-0.004445551441571771,-0.007914324425936425
2028,IFE,1,no cap,-0.005768454227439546,-0.010126288590581733
2029,IFE,1,no cap,-0.007275358729713188,-0.012607756110848078
2030,IFE,1,no cap,-0.008969932668185798,-0.015358556142318958
2031,IFE,1,no cap,-0.010931735485519067,-0.018414959074872228
2032,IFE,1,no cap,-0.013025219742638261,-0.0217425231598688
2033,IFE,1,no cap,-0.01531664340780381,-0.025340276287522445
2034,IFE,1,no cap,-0.017808865102276195,-0.029206992724975844
2035,IFE,1,no cap,-0.020504549697199503,-0.033341192482910564
2036,IFE,1,no cap,-0.023515530207097957,-0.037794595305738254
2037,IFE,1,no cap,-0.026635310893356245,-0.042514481591925724
2038,IFE,1,no cap,-0.029963756573975653,-0.04749851919365733
2039,IFE,1,no cap,-0.03350247012864038,-0.05274411850663718
2040,IFE,1,no cap,-0.0372528339005338,-0.0582484340699706
2041,IFE,1,no cap,-0.041304442455458834,-0.0640654559360968
2042,IFE,1,no cap,-0.04547813700500736,-0.07013667334058904
2043,IFE,1,no cap,-0.04986320271220823,-0.0764583913006287
2044,IFE,1,no cap,-0.05445988133880719,-0.08302666642104839
2045,IFE,1,no cap,-0.059268183588952916,-0.08983731086425151
2046,IFE,1,no cap,-0.06426638896631298,-0.09694313459772663
2047,IFE,1,no cap,-0.06947466956055803,-0.10428349246013391
2048,IFE,1,no cap,-0.074888946546675,-0.11185339665729399
2049,IFE,1,no cap,-0.08050812742488977,-0.119647633126304
2050,IFE,1,no cap,-0.08633089490746793,-0.12766076783391245
2051,IFE,1,no cap,-0.09210967184542118,-0.13593726374112547
2052,IFE,1,no cap,-0.09828032880860038,-0.1444217931866545
2053,IFE,1,no cap,-0.10464325769122906,-0.15310822317077832
2054,IFE,1,no cap,-0.11119608543672832,-0.161990229037136
2055,IFE,1,no cap,-0.1179362336568982,-0.171061302859434
2056,IFE,1,no cap,-0.12432022606737336,-0.18035224986955312
2057,IFE,1,no cap,-0.13134287243888054,-0.18981891955039987
2058,IFE,1,no cap,-0.13853689849004458,-0.19945424985844307
2059,IFE,1,no cap,-0.14589877427709397,-0.20925103227900366
2060,IFE,1,no cap,-0.15342479534813214,-0.21920192187712695
2061,IFE,1,no cap,-0.16020549677741502,-0.22932658519944893
2062,IFE,1,no cap,-0.16793288721649713,-0.23959026764652536
2063,IFE,1,no cap,-0.1758045492271466,-0.249985238370656
2064,IFE,1,no cap,-0.18381602857468216,-0.26050367290903975
2065,IFE,1,no cap,-0.19196274094982602,-0.2711376643487362
2066,IFE,1,no cap,-0.19903870426129688,-0.2819005705369676
2067,IFE,1,no cap,-0.20732788239083932,-0.2927628891040075
2068,IFE,1,no cap,-0.21573160692074012,-0.30371650526603833
2069,IFE,1,no cap,-0.22424481739218216,-0.31475326799678993
2070,IFE,1,no cap,-0.2328623730522983,-0.32586500168345345
2071,IFE,1,no cap,-0.24006692490094483,-0.3370573594156687
2072,IFE,1,no cap,-0.2487716021130557,-0.34830818341639835
2073,IFE,1,no cap,-0.2575603939624256,-0.35960927686004285
2074,IFE,1,no cap,-0.26642795523394414,-0.37095246512534685
2075,IFE,1,no cap,-0.2753689097532944,-0.3823296072772083
2076,IFE,1,no cap,-0.2825369589889387,-0.3937338451730793
2077,IFE,1,no cap,-0.2915179429834448,-0.40515595641177515
