year,estimator,L,cap,delta_bhm,delta_popgrowth
2054,IFE,1,30 C cap,-0.10880453020012781,-0.15734679763002224
2055,IFE,1,30 C cap,-0.11536664211792702,-0.16605738928431324
2056,IFE,1,30 C cap,-0.12153906241896795,-0.17496737847082033
2057,IFE,1,30 C cap,-0.12836956025070367,-0.1840439758771244
2058,IFE,1,30 C cap,-0.1353663208486402,-0.19328097034043867
2059,IFE,1,30 C cap,-0.14252028802538097,-0.20266555066383962
2060,IFE,1,30 C cap,-0.1498291822072384,-0.21219202760997347
2061,IFE,1,30 C cap,-0.15637077240947173,-0.22186949193573235
2062,IFE,1,30 C cap,-0.1638677857777855,-0.23167533404048346
2063,IFE,1,30 C cap,-0.1715026839995818,-0.24160305304505136
2064,IFE,1,30 C cap,-0.17927155334161082,-0.25164544060916827
2065,IFE,1,30 C cap,-0.18717043610609918,-0.2617958894109934
2066,IFE,1,30 C cap,-0.19400007105305528,-0.2720562122439443
2067,IFE,1,30 C cap,-0.20203845765689676,-0.28241064936296245
2068,IFE,1,30 C cap,-0.21018838654888994,-0.2928522740177245
2069,IFE,1,30 C cap,-0.21844529474248975,-0.30337411880378684
2070,IFE,1,30 C cap,-0.22680348566227448,-0.3139668501414904
2071,IFE,1,30 C cap,-0.233782697750187,-0.3246246388616225
2072,IFE,1,30 C cap,-0.24222092795954453,-0.335318692733121
2073,IFE,1,30 C cap,-0.25073442311843597,-0.34604909240567383
2074,IFE,1,30 C cap,-0.2593184455862291,-0.35680948957521363
2075,IFE,1,30 C cap,-0.26796809193299653,-0.3675934699716731
2076,IFE,1,30 C cap,-0.27490984613702496,-0.37838065643558383
2077,IFE,1,30 C cap,-0.2835967060239901,-0.3891785219593372
2078,IFE,1,30 C cap,-0.29233299718705663,-0.3999810096896317
2079,IFE,1,30 C cap,-0.3011138053144796,-0.41078162603618296
2080,IFE,1,30 C cap,-0.3099344144350362,-0.4215745399476769
2081,IFE,1,30 C cap,-0.31670344383772187,-0.43232860863843514
2082,IFE,1,30 C cap,-0.325504143790306,-0.4430596086948807
2083,IFE,1,30 C cap,-0.33432796408353405,-0.45376119893227207
2084,IFE,1,30 C cap,-0.343170558522369,-0.46442877895133494
2085,IFE,1,30 C cap,-0.35202739159281293,-0.47505705431863465
2086,IFE,1,30 C cap,-0.35857728348207507,-0.4856021395812937
2087,IFE,1,30 C cap,-0.36735983704767883,-0.4960943423071472
2088,IFE,1,30 C cap,-0.37613946058547376,-0.506529528069757
2089,IFE,1,30 C cap,-0.3849119545207418,-0.5169029096955711
2090,IFE,1,30 C cap,-0.3936712622204641,-0.5272056086040611
2091,IFE,1,30 C cap,-0.3999429668234703,-0.537393674757132
2092,IFE,1,30 C cap,-0.4085997561078468,-0.5475026229630252
2093,IFE,1,30 C cap,-0.4172198730464921,-0.5574844521983616
2094,IFE,1,30 C cap,-0.4258000224723505,-0.5673373185022643
2095,IFE,1,30 C cap,-0.4343367364641699,-0.5770617506528846
2096,IFE,1,30 C cap,-0.4401998986201705,-0.5866220421823096
2097,IFE,1,30 C cap,-0.44857904169447016,-0.5960557744878244
2098,IFE,1,30 C cap,-0.45690992002536235,-0.6053626366386131
2099,IFE,1,30 C cap,-0.4651901966691907,-0.6145419783435777
2100,IFE,1,30 C cap,-0.473416774438313,-0.6235887370180428
2021,IFE,2,no cap,-9.567761467776936e-5,-3.150918597640828e-4
2022,IFE,2,no cap,-2.054133062182606e-4,-7.966184848862135e-4
2023,IFE,2,no cap,-4.644420481114686e-4,-0.001538040687758424
2024,IFE,2,no cap,-8.776553554711297e-4,-0.002540905756258316
2025,IFE,2,no cap,-0.0014498890808323228,-0.0038065426401797664
2026,IFE,2,no cap,-0.0022320903161142658,-0.0053597295660677835
2027,IFE,2,no cap,-0.0031512187458914154,-0.007180929102321154
2028,IFE,2,no cap,-0.004245255273875981,-0.00927074673536643
2029,IFE,2,no cap,-0.00551859504508434,-0.011629548467134931
2030,IFE,2,no cap,-0.006975498234231714,-0.014257457670772355
2031,IFE,2,no cap,-0.008708800465645372,-0.0171934533297875
2032,IFE,2,no cap,-0.010557535771625881,-0.02040109790942224
2033,IFE,2,no cap,-0.012601148920269423,-0.023879706146565316
2034,IFE,2,no cap,-0.014843000840486398,-0.027628335967746942
2035,IFE,2,no cap,-0.017286265993219585,-0.031645787279338755
2036,IFE,2,no cap,-0.020059071273010876,-0.035986291616574406
2037,IFE,2,no cap,-0.022921605376972742,-0.04059525488420479
2038,IFE,2,no cap,-0.025991517404883036,-0.04547060835537753
2039,IFE,2,no cap,-0.02927084802345703,-0.050610019620783486
2040,IFE,2,no cap,-0.032761419338778075,-0.05601089364390688
2041,IFE,2,no cap,-0.036564040947105636,-0.06172929495227131
2042,IFE,2,no cap,-0.04047437046044777,-0.06770516596087461
2043,IFE,2,no cap,-0.044596192420223835,-0.07393503696435966
2044,IFE,2,no cap,-0.04893013176363137,-0.08041518088468003
2045,IFE,2,no cap,-0.05347658194803806,-0.08714161677346355
2046,IFE,2,no cap,-0.058208951522932484,-0.09416856701003185
2047,IFE,2,no cap,-0.06314972210994729,-0.10143437898506213
2048,IFE,2,no cap,-0.06829737272277425,-0.1089342396443721
2049,IFE,2,no cap,-0.07365113229290676,-0.11666309848568623
2050,IFE,2,no cap,-0.07921000386192123,-0.12461567350718072
2051,IFE,2,no cap,-0.08469830197709083,-0.1328371036175603
2052,IFE,2,no cap,-0.09059561218687806,-0.1412716554482495
2053,IFE,2,no cap,-0.09668618210669189,-0.14991331096659655
2054,IFE,2,no cap,-0.10296789059622524,-0.15875584778990304
2055,IFE,2,no cap,-0.10943840955452211,-0.1677928473721887
2056,IFE,2,no cap,-0.11550081925609668,-0.177054962028381
2057,IFE,2,no cap,-0.1222417133701551,-0.18649832428571889
2058,IFE,2,no cap,-0.12915471073803475,-0.196115922259107
2059,IFE,2,no cap,-0.13623646614238138,-0.20590058421850832
2060,IFE,2,no cap,-0.1434834572321836,-0.2158449886089382
2061,IFE,2,no cap,-0.14990582158167232,-0.22596763311036883
2062,IFE,2,no cap,-0.15734143692254954,-0.2362349320989089
2063,IFE,2,no cap,-0.16492172625898893,-0.24663913968147289
2064,IFE,2,no cap,-0.17264236501977837,-0.2571724031586953
2065,IFE,2,no cap,-0.18049889476062775,-0.26782677433223445
2066,IFE,2,no cap,-0.1871910794627748,-0.27861353410338485
2067,IFE,2,no cap,-0.19518077951012025,-0.28950514414330974
2068,IFE,2,no cap,-0.20328537291181736,-0.30049341305998456
2069,IFE,2,no cap,-0.2114998907363166,-0.3115701010331634
2070,IFE,2,no cap,-0.2198192787443114,-0.3227269317761795
2071,IFE,2,no cap,-0.22662186654458305,-0.33396667031197225
2072,IFE,2,no cap,-0.23502192880565786,-0.34526984084415246
2073,IFE,2,no cap,-0.24350656712394192,-0.3566281157137897
2074,IFE,2,no cap,-0.2520705007380113,-0.3680331790206717
2075,IFE,2,no cap,-0.2607084118866674,-0.37947673855167363
2076,IFE,2,no cap,-0.26746234498019483,-0.39094827981999825
2077,IFE,2,no cap,-0.27613489455840035,-0.4024419617674533
2078,IFE,2,no cap,-0.284862570489409,-0.41394963518407135
2079,IFE,2,no cap,-0.2936400393509213,-0.4254632207461425
2080,IFE,2,no cap,-0.30246197306788913,-0.43697472021948913
2081,IFE,2,no cap,-0.309018238284152,-0.4484636919747893
2082,IFE,2,no cap,-0.3178131556838394,-0.4599352563823361
2083,IFE,2,no cap,-0.32663474957008143,-0.471381732623084
2084,IFE,2,no cap,-0.335477863500245,-0.4827955623971466
2085,IFE,2,no cap,-0.34433738180686424,-0.49416931978722467
2086,IFE,2,no cap,-0.3506678225147656,-0.5054760417594293
2087,IFE,2,no cap,-0.3594566474672293,-0.5167289477868438
2088,IFE,2,no cap,-0.36824607344104665,-0.5279210753106537
2089,IFE,2,no cap,-0.377031289231069,-0.539045628634938
2090,IFE,2,no cap,-0.385807550482389,-0.5500959869564419
2091,IFE,2,no cap,-0.39184463832098526,-0.561040534000903
2092,IFE,2,no cap,-0.4005202092071072,-0.5718991731679689
2093,IFE,2,no cap,-0.4091734077101029,-0.5826658591036293
2094,IFE,2,no cap,-0.4177998769513469,-0.5933347472498618
2095,IFE,2,no cap,-0.4263953435612702,-0.603900199699446
2096,IFE,2,no cap,-0.4320099679187779,-0.6143271215482584
2097,IFE,2,no cap,-0.4404543893807623,-0.6246412558459159
2098,IFE,2,no cap,-0.4488562589513706,-0.6348376146161265
2099,IFE,2,no cap,-0.45721175822429116,-0.6449114329186063
2100,IFE,2,no cap,-0.46551716018770606,-0.6548581723576947
2021,IFE,2,30 C cap,-9.567761467776936e-5,-3.150918597640828e-4
2022,IFE,2,30 C cap,-2.054133062182606e-4,-7.966184848862135e-4
2023,IFE,2,30 C cap,-4.644420481114686e-4,-0.001538040687758424
2024,IFE,2,30 C cap,-8.769903676588697e-4,-0.0025372207666800595
2025,IFE,2,30 C cap,-0.0014470389220567759,-0.0037909868926047086
2026,IFE,2,30 C cap,-0.0022256648776292076,-0.005326007656714871
2027,IFE,2,30 C cap,-0.003140099636126603,-0.0071232705599117985
2028,IFE,2,30 C cap,-0.004228129666425051,-0.009183412032643279
2029,IFE,2,30 C cap,-0.00549408643164051,-0.011506838660181984
2030,IFE,2,30 C cap,-0.006942169171237245,-0.014093724079082381
2031,IFE,2,30 C cap,-0.008663424363808514,-0.016981197308749807
2032,IFE,2,30 C cap,-0.010496586059168034,-0.02013370952427107
2033,IFE,2,30 C cap,-0.012514034726996193,-0.02354887390143945
2034,IFE,2,30 C cap,-0.01472244462692196,-0.027225910726795366
2035,IFE,2,30 C cap,-0.017124440561310017,-0.03116352389593946
2036,IFE,2,30 C cap,-0.0198398112198106,-0.03541117766707347
2037,IFE,2,30 C cap,-0.022643714712500485,-0.03991618243507533
2038,IFE,2,30 C cap,-0.025647441245986058,-0.04467577757728558
2039,IFE,2,30 C cap,-0.02885316497330792,-0.049686825053638195
2040,IFE,2,30 C cap,-0.032262896570260935,-0.054946162311518276
2041,IFE,2,30 C cap,-0.03595622830037293,-0.06049985782214484
2042,IFE,2,30 C cap,-0.03976796908308988,-0.06629483773045974
2043,IFE,2,30 C cap,-0.04378431370054514,-0.07232837637807021
2044,IFE,2,30 C cap,-0.048006160617173,-0.07859720698737216
2045,IFE,2,30 C cap,-0.05243418045419068,-0.08509783096064605
2046,IFE,2,30 C cap,-0.057010653086464136,-0.0918762569812186
2047,IFE,2,30 C cap,-0.06181741369521121,-0.09887952582530901
2048,IFE,2,30 C cap,-0.06682543157139587,-0.10610340771930993
2049,IFE,2,30 C cap,-0.07203421403803778,-0.11354345935725563
2050,IFE,2,30 C cap,-0.07744303896530313,-0.12119502866316534
2051,IFE,2,30 C cap,-0.08274203339606545,-0.1290937753859419
2052,IFE,2,30 C cap,-0.08847537339481404,-0.1371943774050597
2053,IFE,2,30 C cap,-0.09439689296180753,-0.14548972659190285
2054,IFE,2,30 C cap,-0.10050478899203663,-0.15397472093674347
2055,IFE,2,30 C cap,-0.1067962143961797,-0.16264368614309122
2056,IFE,2,30 C cap,-0.1126455534372357,-0.1715170843738827
2057,IFE,2,30 C cap,-0.11919405454390142,-0.18056259253284912
2058,IFE,2,30 C cap,-0.12591005335845395,-0.18977406076116476
2059,IFE,2,30 C cap,-0.13278410497390636,-0.19913780716310414
2060,IFE,2,30 C cap,-0.13981459961729825,-0.20864866168081542
2061,IFE,2,30 C cap,-0.145998793362087,-0.21831452814480423
2062,IFE,2,30 C cap,-0.15320584953053595,-0.22811413681521364
2063,IFE,2,30 C cap,-0.16055184396744093,-0.23804103638891405
2064,IFE,2,30 C cap,-0.1680330332252291,-0.248088019116955
2065,IFE,2,30 C cap,-0.1756456172120502,-0.25824847204525136
2066,IFE,2,30 C cap,-0.18209638414274376,-0.26852200068892884
2067,IFE,2,30 C cap,-0.18984066752367934,-0.2788950032437273
2068,IFE,2,30 C cap,-0.19769761240401906,-0.2893605073168817
2069,IFE,2,30 C cap,-0.20566275813068702,-0.29991148863780004
2070,IFE,2,30 C cap,-0.21373044088979842,-0.3105384349701943
2071,IFE,2,30 C cap,-0.2203167391561629,-0.3212326057109056
2072,IFE,2,30 C cap,-0.22845919824248762,-0.3319674624260345
2073,IFE,2,30 C cap,-0.23667797596344753,-0.3427432251374062
2074,IFE,2,30 C cap,-0.24496860855578328,-0.35355383912170335
2075,IFE,2,30 C cap,-0.25332622753507006,-0.36439277706618445
2076,IFE,2,30 C cap,-0.25986603352853765,-0.37523591848036175
2077,IFE,2,30 C cap,-0.2682567392981423,-0.3860942685664913
2078,IFE,2,30 C cap,-0.2766980620687238,-0.3969616371385115
2079,IFE,2,30 C cap,-0.285185099478779,-0.407831351146588
2080,IFE,2,30 C cap,-0.2937131130909866,-0.4186973842557391
2081,IFE,2,30 C cap,-0.30007203922609815,-0.4295241863632515
2082,IFE,2,30 C cap,-0.3085737922276114,-0.4403313847368636
2083,IFE,2,30 C cap,-0.31709943996751455,-0.45111256124673016
2084,IFE,2,30 C cap,-0.32564462772709213,-0.46186313307481663
2085,IFE,2,30 C cap,-0.3342047799673864,-0.4725776303478857
2086,IFE,2,30 C cap,-0.3403470615431907,-0.483206852917309
2087,IFE,2,30 C cap,-0.3488291223116856,-0.49378504403890144
2088,IFE,2,30 C cap,-0.35730809780982054,-0.5043078847405273
2089,IFE,2,30 C cap,-0.3657797842679451,-0.514770463860106
2090,IFE,2,30 C cap,-0.3742381389273369,-0.5251636128087868
2091,IFE,2,30 C cap,-0.38009374646053384,-0.5354380472839088
2092,IFE,2,30 C cap,-0.3884484189098335,-0.5456344712360599
2093,IFE,2,30 C cap,-0.39676639190338947,-0.5557032472387029
2094,IFE,2,30 C cap,-0.4050448411853307,-0.5656439767808188
2095,IFE,2,30 C cap,-0.4132805470033323,-0.5754579741217207
2096,IFE,2,30 C cap,-0.41870470167572893,-0.5851035478122093
2097,IFE,2,30 C cap,-0.42678037525304313,-0.5946236535732057
2098,IFE,2,30 C cap,-0.4348072996057596,-0.6040177213515263
2099,IFE,2,30 C cap,-0.4427829837424455,-0.6132849303899497
2100,IFE,2,30 C cap,-0.45070402409423016,-0.6224194659282686
