estimator,L,year,j05,j95,p_joint,panel
AFE,0,2091,-0.0068742181500512645,0.15029767102519748,0.886,L = 0
AFE,0,2092,-0.00810362515518263,0.15489402164937377,0.886,L = 0
AFE,0,2093,-0.009148505826180545,0.15965759906852744,0.886,L = 0
AFE,0,2094,-0.011616197656717708,0.1689306328649711,0.886,L = 0
AFE,0,2095,-0.013489029422152018,0.17404617782462353,0.886,L = 0
AFE,0,2096,-0.016427518313739935,0.17943326923800995,0.886,L = 0
AFE,0,2097,-0.017298723031926037,0.18494618098937132,0.886,L = 0
AFE,0,2098,-0.01951468568740088,0.19209583364575508,0.886,L = 0
AFE,0,2099,-0.020832281037999074,0.1972393020351503,0.886,L = 0
AFE,0,2100,-0.022052355777417248,0.2056934855721498,0.886,L = 0
AFE,1,2021,-1.9882909879498362e-5,6.253305561458311e-5,0.702,L = 1
AFE,1,2022,-7.085977587444335e-5,1.7445261682174084e-4,0.702,L = 1
AFE,1,2023,-1.6095985023730218e-4,3.4054618479645294e-4,0.702,L = 1
AFE,1,2024,-3.0127092335294203e-4,5.55990662555394e-4,0.702,L = 1
AFE,1,2025,-4.681205294439161e-4,8.326015032573961e-4,0.702,L = 1
AFE,1,2026,-6.826759718156993e-4,0.0011384190080495342,0.702,L = 1
AFE,1,2027,-9.572809227672285e-4,0.0015055298923054403,0.702,L = 1
AFE,1,2028,-0.0012252245715431264,0.001901794263975652,0.702,L = 1
AFE,1,2029,-0.001522501826087541,0.0023579617449416587,0.702,L = 1
AFE,1,2030,-0.0018608344425005805,0.0028594215035800037,0.702,L = 1
AFE,1,2031,-0.0022592617391968273,0.003396514689173318,0.702,L = 1
AFE,1,2032,-0.002637482538832342,0.003987473226565782,0.702,L = 1
AFE,1,2033,-0.003085859944902375,0.004615528901674389,0.702,L = 1
AFE,1,2034,-0.0035668472760907954,0.00528149643116539,0.702,L = 1
AFE,1,2035,-0.004079539695031059,0.005983864776992149,0.702,L = 1
AFE,1,2036,-0.004647051289916465,0.006718086347200239,0.702,L = 1
AFE,1,2037,-0.005189746606914852,0.0075001018002860105,0.702,L = 1
AFE,1,2038,-0.005747795775173626,0.008316613658361524,0.702,L = 1
AFE,1,2039,-0.006319717413920684,0.009165603902352703,0.702,L = 1
AFE,1,2040,-0.006905700188827363,0.010048385152544498,0.702,L = 1
AFE,1,2041,-0.007557666796760054,0.010898320105979211,0.702,L = 1
AFE,1,2042,-0.008178128510520582,0.011923348629788154,0.702,L = 1
