ssp,spec,estimator,method,L,component,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975
SSP585,Interactive,AFE,Country resampling,1,IE,2051,0.03912782586281349,-0.08898517806837854,-0.04756268631455249,-0.021793387057969116,0.011429626665756004,0.035856958871804456,0.06431613466342678,0.08793894930954133,0.10086334271918049,0.11185243349295476
SSP585,Interactive,AFE,Country resampling,1,IE,2052,0.04154448340393202,-0.0944658588072004,-0.05122723731529116,-0.02323636416975645,0.011807978606212716,0.03808462975791166,0.0679591098591941,0.09311580374317986,0.10647795767558735,0.11892059347420357
SSP585,Interactive,AFE,Country resampling,1,IE,2053,0.04400824529291747,-0.09968542171529221,-0.055132754901749965,-0.025361176147034037,0.012234010770258708,0.04000132558891384,0.07175507291580852,0.09789606995983101,0.11331184875607281,0.12529290796477752
SSP585,Interactive,AFE,Country resampling,1,IE,2054,0.046515291537756354,-0.10498756072737618,-0.0589585552460426,-0.026261361432880187,0.012585858395014526,0.04214128457545335,0.07513786505027534,0.10246113535606652,0.11903721782816566,0.13103784910514651
SSP585,Interactive,AFE,Country resampling,1,IE,2055,0.049061649248335226,-0.11054348359207314,-0.06339347923369397,-0.02955159570825313,0.013218109490169216,0.04417886967844614,0.07897891680901431,0.10698359587535303,0.1251591826219155,0.1381126633602937
SSP585,Interactive,AFE,Country resampling,1,IE,2056,0.05085704898655752,-0.11942102742356064,-0.06798461525009253,-0.032219246627022885,0.012782520287137084,0.045691365594300426,0.08174956299464581,0.11144852814202398,0.1311454742679625,0.14514948897591679
SSP585,Interactive,AFE,Country resampling,1,IE,2057,0.05340216427109945,-0.1267421718223434,-0.07281775971007932,-0.03480875276448953,0.012953196833572156,0.047501237947134844,0.08492562354136352,0.116825120181589,0.13799107141085637,0.15285451046879825
SSP585,Interactive,AFE,Country resampling,1,IE,2058,0.05597134105304358,-0.13508089480546423,-0.07787169168120399,-0.03670637963087473,0.013244316668323763,0.04975263033095767,0.08865996131486018,0.1211047109885612,0.1443029614393322,0.1607016159535519
SSP585,Interactive,AFE,Country resampling,1,IE,2059,0.058560285521284006,-0.1479113437917311,-0.08345066272327967,-0.04007194490529533,0.013205700299501466,0.05211103283516477,0.09255330942985773,0.12675812744602838,0.15101020074548377,0.16863412479490444
SSP585,Interactive,AFE,Country resampling,1,IE,2060,0.06116462400875289,-0.16084989851178755,-0.08866748370214358,-0.04283259008391997,0.013556524521933094,0.05402943570051,0.09611202181304582,0.13305609460421097,0.1583596493499638,0.17489399510211812
SSP585,Interactive,AFE,Country resampling,1,IE,2061,0.06278235526594855,-0.17227724592911156,-0.09584916499267662,-0.046681621098291146,0.012892425403785157,0.05544174120571366,0.09842432399943365,0.13724449458470273,0.16454504078652793,0.18140096210728862
SSP585,Interactive,AFE,Country resampling,1,IE,2062,0.06533345981348193,-0.18337831671276203,-0.1026362337586595,-0.04932071439512315,0.01276702274512903,0.05713103984710616,0.10274599725233424,0.14353221273426625,0.171618524409253,0.19033262572410217
SSP585,Interactive,AFE,Country resampling,1,IE,2063,0.06788521862022168,-0.19669472478256017,-0.10865962791889991,-0.05234515370595312,0.012561114679416424,0.05913903785689617,0.10656789368610747,0.14850255515219962,0.17790642917085783,0.20009262529844074
