term,estimate,std.error,statistic,p.value,nobs,spec,L,estimator
tmp2_pre2,-1.0142995074342219e-4,8.450725640566967e-5,-1.2002513755329673,0.23009101188711933,6212,Interactive,2,AFE
tmp,0.014413865242826144,0.006772746782379852,2.1282155831258325,0.03331921339224163,6212,Interactive,2,IFE
tmp2,-4.6273340329293415e-4,2.0891563961702157e-4,-2.2149294525828913,0.02676490715849722,6212,Interactive,2,IFE
pre,0.16797633995258365,0.09706143027027013,1.7306188409221777,0.08351976903227933,6212,Interactive,2,IFE
pre2,-0.07290843607927586,0.04655613109144934,-1.566032966443521,0.1173408996202474,6212,Interactive,2,IFE
tmp_pre,-0.01594966791278445,0.009352152834051296,-1.7054541554016873,0.0881097555177502,6212,Interactive,2,IFE
tmp2_pre,3.6039148326031344e-4,2.4600583667599545e-4,1.4649712711287042,0.14292875603719885,6212,Interactive,2,IFE
pre2_tmp,0.005817036010816501,0.004044493587979587,1.438260658418396,0.150360109996771,6212,Interactive,2,IFE
tmp2_pre2,-1.1617923091429662e-4,9.257952676434365e-5,-1.2549127758022007,0.20951042562131433,6212,Interactive,2,IFE
tmp,0.006424364357248805,0.009997582340312146,0.6425917925521404,0.5205151302372284,6090,Interactive,3,AFE
tmp2,-3.0213656457011e-4,3.0254985424418385e-4,-0.9986339782740722,0.3180148759847658,6090,Interactive,3,AFE
pre,0.034638882826454276,0.09140159710617612,0.37897459041351567,0.7047209986084135,6090,Interactive,3,AFE
pre2,-0.0038441852067565736,0.04987220669771164,-0.07708071210999697,0.9385620709826854,6090,Interactive,3,AFE
tmp_pre,-0.006937879435491234,0.008938055570310792,-0.7762179795051322,0.43765284082554035,6090,Interactive,3,AFE
tmp2_pre,2.3929418924555096e-4,2.583939420472937e-4,0.9260828150597783,0.35444256815877717,6090,Interactive,3,AFE
pre2_tmp,0.0014388957684061364,0.004134627936762678,0.348010943285204,0.7278449527757204,6090,Interactive,3,AFE
tmp2_pre2,-5.65356003806463e-5,9.34498044037569e-5,-0.6049836138380771,0.5452142236714212,6090,Interactive,3,AFE
tmp,0.02038437741473522,0.00834211673349318,2.44354976871673,0.01454356350621453,6090,Interactive,3,IFE
tmp2,-5.834427525200829e-4,2.5364912541094833e-4,-2.3001961925743726,0.02143710744193509,6090,Interactive,3,IFE
pre,0.1234192479794751,0.1209859204169208,1.0201124854377186,0.30767511602305814,6090,Interactive,3,IFE
pre2,-0.03882050661345117,0.059019813610837316,-0.6577537989093697,0.5106963463783605,6090,Interactive,3,IFE
tmp_pre,-0.015049428434739349,0.011587082406257302,-1.2988108573917017,0.19400884764964949,6090,Interactive,3,IFE
tmp2_pre,4.3311363008592544e-4,3.02572598566708e-4,1.4314370572140132,0.15230499421502494,6090,Interactive,3,IFE
pre2_tmp,0.004607337850864325,0.005130000096541051,0.8981165232279165,0.36912343089555655,6090,Interactive,3,IFE
tmp2_pre2,-1.2760326850814115e-4,1.1706420084162576e-4,-1.0900281007408363,0.2757007658342178,6090,Interactive,3,IFE
tmp,0.007395602197947086,0.011155012381324521,0.6629846695937911,0.5073681005558924,5968,Interactive,4,AFE
tmp2,-2.904812744422306e-4,3.1868808614728724e-4,-0.9114908497331765,0.36207667215919914,5968,Interactive,4,AFE
pre,0.06983622430827462,0.11512340251679724,0.6066205721993412,0.5441277322962842,5968,Interactive,4,AFE
pre2,0.007556178966703746,0.06201264009012179,0.12184901264842933,0.9030230392466251,5968,Interactive,4,AFE
tmp_pre,-0.009222422445219584,0.010695161086798752,-0.8622986012434167,0.3885607424259848,5968,Interactive,4,AFE
tmp2_pre,2.638301729430449e-4,2.981586166656089e-4,0.8848651630247398,0.37626796315956634,5968,Interactive,4,AFE
pre2_tmp,8.32268719902581e-5,0.005176199520637579,0.016078760422281135,0.9871721400875573,5968,Interactive,4,AFE
tmp2_pre2,-1.776888547771347e-5,1.1657433169493169e-4,-0.15242536859841171,0.8788570295043573,5968,Interactive,4,AFE
tmp,0.02061356845673541,0.009872749870782859,2.087925727536016,0.036804534998211715,5968,Interactive,4,IFE
tmp2,-5.38454800280552e-4,2.9737743103329096e-4,-1.810678094869522,0.0701906955879876,5968,Interactive,4,IFE
pre,0.11746280435205589,0.14178730754887617,0.828443718853782,0.40741925602248696,5968,Interactive,4,IFE
pre2,-0.01710296321967693,0.07041323904429606,-0.24289414109919982,0.808087404408722,5968,Interactive,4,IFE
tmp_pre,-0.011158024962420406,0.01339804891517207,-0.8328096899082791,0.40495206894060254,5968,Interactive,4,IFE
tmp2_pre,2.5361184315005986e-4,3.481104178154565e-4,0.7285385043676197,0.4662840072547244,5968,Interactive,4,IFE
pre2_tmp,0.001979135275503854,0.006050546735988963,0.32710023769122476,0.7435920720427419,5968,Interactive,4,IFE
tmp2_pre2,-5.118754220764862e-5,1.364930246993748e-4,-0.37501947312244654,0.7076459843478808,5968,Interactive,4,IFE
tmp,0.012590940687657978,0.010223125527065004,1.2316136248473473,0.2181472592624297,5846,Interactive,5,AFE
tmp2,-3.8716308101093027e-4,2.949722731250116e-4,-1.3125405886771178,0.18939376909000047,5846,Interactive,5,AFE
pre,0.3210843988348205,0.14871268571419213,2.1590921937346086,0.03088706623488353,5846,Interactive,5,AFE
pre2,-0.1130730944049281,0.0794739296746881,-1.4227696411612212,0.15486090203365663,5846,Interactive,5,AFE
tmp_pre,-0.030974335019105893,0.013017800338328934,-2.379383168745235,0.017376292592015775,5846,Interactive,5,AFE
tmp2_pre,7.400357812722142e-4,3.434519762431885e-4,2.1546994411475335,0.03122959286824485,5846,Interactive,5,AFE
