ssp,spec,estimator,L,n_country,delta_bhm,delta_unweighted,delta_cold,delta_hot,n_gainers,ratio_bhm_vs_L0,ratio_unw_vs_L0
SSP370,Direct,IFE,1,147,-0.38096194419277263,-0.3986074250964416,-0.1693702776209498,-0.6247467732817241,14,1.1189809895571028,1.1132995900992742
SSP370,Direct,AFE,2,147,-0.16169737607139878,-0.1896981910348227,0.11145574017837417,-0.4867824745289223,39,0.5183513861275351,0.6245511498285642
SSP370,Direct,IFE,2,147,-0.4026333993501393,-0.41260584596928784,-0.14828654916446504,-0.6733532603848563,17,1.1826355007406704,1.1523967951149765
SSP370,Direct,AFE,3,147,-0.34557537228394763,-0.36617328949200234,-0.17051861969539386,-0.5591839772643323,13,1.107806926661736,1.205567368572095
SSP370,Direct,IFE,3,147,0.19922886733693135,0.1629475942982092,0.797424448619273,-0.4629552484779753,58,-0.585185261990926,-0.4551081553384706
SSP370,Direct,AFE,4,147,-0.31276756774755243,-0.3328413649382994,-0.18596213577253057,-0.4777357396558822,8,1.002635331609182,1.0958273036170598
SSP370,Direct,IFE,4,147,0.216921190231133,0.19446225063776576,0.9382573482622847,-0.5392815618837192,56,-0.6371520615138194,-0.543127724909858
SSP370,Direct,AFE,5,147,-0.33521019548068276,-0.3291415110452272,-0.3659929612245584,-0.29278805343588704,0,1.074579400687184,1.0836461226025726
SSP370,Direct,IFE,5,147,-0.38201030331164565,-0.4028463884820765,-0.1793599548186889,-0.6233127352040669,14,1.1220602838071712,1.1251388984075208
SSP370,Interactive,AFE,0,147,-0.282346584805648,-0.273552270778614,0.24395007274417824,-0.7840613393889361,36,1,1
SSP370,Interactive,IFE,0,147,-0.3298869157089227,-0.3457296526672549,0.009398015897894527,-0.6960582986842266,27,1,1
SSP370,Interactive,AFE,1,147,-0.24112001837940567,-0.26070145035776515,0.08088496536689772,-0.5976718334375001,36,0.8539859568175033,0.9530224319313034
SSP370,Interactive,IFE,1,147,-0.3908847104058446,-0.37559053868958386,-0.1712502108850529,-0.5771695107129725,17,1.1849051653529163,1.0863706245384406
SSP370,Interactive,AFE,2,147,-0.1810523927565032,-0.17730153374653665,0.08817358199266985,-0.4391891479216998,39,0.641241660072247,0.6481449897742829
SSP370,Interactive,IFE,2,147,-0.36157706105485266,-0.31679343903923807,-0.03807713853184872,-0.5917433030532843,21,1.0960636625366855,0.9163039287929801
SSP370,Interactive,AFE,3,147,-0.39436974358600085,-0.4103432980795314,-0.2515840284763243,-0.56695717214756,6,1.3967576192127966,1.500054438998324
SSP370,Interactive,IFE,3,147,0.15990908462726217,0.22017645785601933,0.983466625527218,-0.5327989778196226,56,-0.4847390939516944,-0.6368457439429606
SSP370,Interactive,AFE,4,147,-0.35979691815090087,-0.3476091942310652,-0.26229309487079827,-0.4317723733297068,6,1.2743094392254308,1.2707231171639057
SSP370,Interactive,IFE,4,147,0.187981979642031,0.3288246375138897,1.278915703943793,-0.6084273604507447,54,-0.5698376343240537,-0.9511033692859566
SSP370,Interactive,AFE,5,147,-0.3189772650822602,-0.25653886768383954,-0.3713169501881346,-0.14331184034852143,28,1.1297365799619172,0.9378056594216927
SSP370,Interactive,IFE,5,147,-0.35714095122271594,-0.2514873626613291,0.11459703709701718,-0.6126246759364545,22,1.0826162973309343,0.7274104512619615
SSP245,Direct,AFE,0,148,-0.21767310591454703,-0.23170619983541418,0.1015692371103891,-0.5649816367812175,37,1,1
SSP245,Direct,IFE,0,148,-0.22032860547309407,-0.2375475203839136,0.004118808030532053,-0.47921384879835927,31,1,1
SSP245,Direct,AFE,1,148,-0.15496599793305355,-0.17481707157918175,0.05571135112154412,-0.4053454942799076,38,0.7119207367486605,0.7544773152524965
SSP245,Direct,IFE,1,148,-0.24271475596450554,-0.25331984925739104,-0.09130611903950878,-0.4153335794752733,19,1.1016034683437652,1.0663965207802923
SSP245,Direct,AFE,2,148,-0.09969558850188776,-0.11679520094750419,0.0737904380301348,-0.3073808399251432,43,0.45800599979046436,0.5040659293124927
SSP245,Direct,IFE,2,148,-0.26388380084259166,-0.2699455183984909,-0.07970370135671381,-0.4601873354402681,23,1.1976828895003215,1.1363853344468386
SSP245,Direct,AFE,3,148,-0.21493012245226017,-0.22664176361107125,-0.09190840655861858,-0.3613751206635239,16,0.9873986110927104,0.9781428540628593
SSP245,Direct,IFE,3,148,0.09662556614365303,0.06724730116903244,0.4131539883139755,-0.2786593859759106,61,-0.43855207060461643,-0.2830898889634814
SSP245,Direct,AFE,4,148,-0.1892509985984272,-0.1995959450051641,-0.10222764169704003,-0.29696424831328816,11,0.8694275657219793,0.8614182319978546
SSP245,Direct,IFE,4,148,0.09847113698459298,0.06891763041064027,0.47098386595648317,-0.3331486051352026,59,-0.44692851739860895,-0.2901214472761437
SSP245,Direct,AFE,5,148,-0.20743649314498092,-0.20268743254851634,-0.2304569709525676,-0.1749178941444651,0,0.9529725423517191,0.8747605057287613
SSP245,Direct,IFE,5,148,-0.23999355065910888,-0.2528085998146174,-0.09594727676869666,-0.40966992286053816,17,1.0892528010323028,1.0642443221719997
SSP245,Interactive,AFE,0,148,-0.20078475702961385,-0.21591975872570573,0.12146504057323435,-0.5533045580246458,40,1,1
SSP245,Interactive,IFE,0,148,-0.2149345210913709,-0.22918628634363264,0.005853318642023283,-0.46422589132928854,32,1,1
SSP245,Interactive,AFE,1,148,-0.1564117993281975,-0.17173613589987033,0.05319810738363876,-0.39667037918337944,40,0.7790023587553921,0.7953701732227101
SSP245,Interactive,IFE,1,148,-0.2556467851507518,-0.24605261457178804,-0.09875941993226453,-0.3933458092113115,17,1.1894170552624894,1.0735922227164443
