ssp,spec,estimator,L,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975
SSP585,Interactive,AFE,0,2077,-0.18483698646397018,-0.4582227735406092,-0.423907169072753,-0.3760121006511789,-0.28121240468260156,-0.16570318161179265,-0.04654414576222962,0.09259711614747562,0.18313601165080393,0.25047345919330255
SSP585,Interactive,AFE,0,2078,-0.19025556840182822,-0.469383537072657,-0.4339150302372608,-0.38599800121910244,-0.28903582706167796,-0.16999181231819777,-0.04792846076716489,0.09601648466508234,0.19069249598696217,0.25985564963063834
SSP585,Interactive,AFE,0,2079,-0.19565468965734,-0.4805244884811047,-0.4439801879674921,-0.3959431930199407,-0.2970853636214641,-0.17571318939859787,-0.04945266639591339,0.10009387174635638,0.19801682769816784,0.26949672861248064
SSP585,Interactive,AFE,0,2080,-0.20102866711077982,-0.49199721375578487,-0.4539323736391449,-0.40580126350784734,-0.3042422560281388,-0.18075576590915882,-0.050566052864752103,0.10446911583869416,0.20479545749679462,0.2794055815552911
SSP585,Interactive,AFE,0,2081,-0.2015608273572368,-0.5004110375946049,-0.4604533850735011,-0.41213154993683065,-0.30616380950744315,-0.18076809179073677,-0.04568578721290284,0.11472209688925254,0.21588629477642643,0.2946317665186401
SSP585,Interactive,AFE,0,2082,-0.20662047111626325,-0.5115931993309067,-0.47042482812561087,-0.42201325420332725,-0.3132601537841596,-0.18504935210484652,-0.04577279323896777,0.11932783573519687,0.22365646364311598,0.3054875745980905
SSP585,Interactive,AFE,0,2083,-0.21163141757053017,-0.5224559560061363,-0.47985102816930314,-0.43158143362057344,-0.32066565249487666,-0.18957926665084718,-0.046216592040927235,0.12434834176834617,0.23345149508525334,0.31900934718717044
SSP585,Interactive,AFE,0,2084,-0.21658826653427443,-0.5322616364906235,-0.4898424969526515,-0.4405548046025535,-0.32805161079269957,-0.19428489554760286,-0.04718815483426056,0.1294289587732399,0.2426840901429499,0.33123009234582484
SSP585,Interactive,AFE,0,2085,-0.2214856906103817,-0.5419042371565227,-0.4997214654046425,-0.4484795189000052,-0.3355418507605722,-0.19784383963297386,-0.04823560490142889,0.13464194873018087,0.25125668630419645,0.34273731809801095
SSP585,Interactive,AFE,0,2086,-0.22083422567473088,-0.5472175023787119,-0.506072864113013,-0.4539296304606433,-0.3370121116093982,-0.19665118461470332,-0.040090639858455124,0.14767890148267726,0.2666524267585211,0.3635086761257755
SSP585,Interactive,AFE,0,2087,-0.22536821325499612,-0.5567880888747523,-0.5164546401662565,-0.4619162452655555,-0.34439984929177914,-0.20026022041366304,-0.0395505925915928,0.15585643672614252,0.27614758417511787,0.37860696898549917
SSP585,Interactive,AFE,0,2088,-0.22982253683127207,-0.5674241842637108,-0.5253379513004945,-0.4711051180486292,-0.3510327395975489,-0.20445483499342365,-0.03965088615691803,0.16524105679454681,0.28745886035443,0.3942657208836545
SSP585,Interactive,AFE,0,2089,-0.2341922189434964,-0.5779648811643487,-0.5334481819596035,-0.4800227883775116,-0.3575461067377955,-0.20776010135760348,-0.039221222129379896,0.1748596346922109,0.2977832376611727,0.4105378209211221
SSP585,Interactive,AFE,0,2090,-0.23847235914436837,-0.5883459019219712,-0.5426093997730488,-0.487814968002709,-0.3636248225292318,-0.21197580556815138,-0.03902906320008839,0.18405768450323529,0.3104576804926512,0.4274500497471312
SSP585,Interactive,AFE,0,2091,-0.2365278254792722,-0.595382646958791,-0.5473510715907283,-0.4924784615977049,-0.3649194269598531,-0.2099755249196551,-0.030911119611885585,0.202590088623444,0.33688419095941563,0.45494355491197563
SSP585,Interactive,AFE,0,2092,-0.2404071959909081,-0.6039375403587114,-0.5561078625538184,-0.49981573155187853,-0.3707824434144744,-0.2134309119423799,-0.028303573735917714,0.21029480822912322,0.35404332513304143,0.4737603168908344
SSP585,Interactive,AFE,0,2093,-0.24417990812795354,-0.6117747025585456,-0.5647274011169505,-0.5069838133573565,-0.3768405274969344,-0.21599858899640118,-0.025971116883941908,0.21811087456992376,0.3698933734222457,0.4931412328864776
SSP585,Interactive,AFE,0,2094,-0.24784139577402586,-0.6194225112442507,-0.5731885677720617,-0.5146976839945384,-0.3830620400140192,-0.21821286862831235,-0.024178967400681983,0.22616120432823542,0.3843749448615958,0.5137753561248481
SSP585,Interactive,AFE,0,2095,-0.25138715412069124,-0.6268254707924386,-0.5814980812748779,-0.5214137842410933,-0.38952688639890154,-0.22084498708825107,-0.02334201295500904,0.2342817426457371,0.3992545787894049,0.5350547708446505
SSP585,Interactive,AFE,0,2096,-0.2479648179752474,-0.6306753336699656,-0.5854709574356879,-0.5217235889955726,-0.38863334699898594,-0.21503828019854704,-0.014309399117919508,0.24817482975724792,0.4246540752334549,0.5695507243184985
SSP585,Interactive,AFE,0,2097,-0.251021776490825,-0.6388320502473845,-0.594809350048142,-0.5278171700378406,-0.39405605893817436,-0.21738378602235314,-0.012579086404683804,0.26120233388920205,0.4411270502216651,0.5933207001805069
SSP585,Interactive,AFE,0,2098,-0.2539468540695302,-0.6468649581493617,-0.6040315448781369,-0.5348401660077231,-0.4012667464350992,-0.21869487892174228,-0.010465754491033041,0.27088369460372497,0.4582348666605217,0.6182873465569177
SSP585,Interactive,AFE,0,2099,-0.2567357966827979,-0.6547766539557413,-0.6110119500692839,-0.5427210305099234,-0.4052270002663131,-0.22050823643043826,-0.007218645454508399,0.28407340778680784,0.47673382715513374,0.6489383041175586
SSP585,Interactive,AFE,0,2100,-0.2593843761142064,-0.662038751770819,-0.616619440385894,-0.549469176032482,-0.4104266035160229,-0.22160595275501493,0.0017323952605965975,0.2941074480531992,0.5011198550749155,0.6793827162642798
SSP585,Interactive,AFE,1,2021,-3.0875785312911574e-5,-2.7879816753461625e-4,-2.2996686716995058e-4,-1.8903280572831748e-4,-1.1561124880657414e-4,-2.9301647441970502e-5,5.162482323106676e-5,1.3856484331331576e-4,1.8457645612393044e-4,2.1251919604060027e-4
SSP585,Interactive,AFE,1,2022,-9.095696676841847e-5,-9.083214949963975e-4,-7.252344462480243e-4,-5.842058481462797e-4,-3.373603180249207e-4,-8.598819548077952e-5,1.6599706169628803e-4,4.2968679613921725e-4,5.639906403807182e-4,6.603515255099942e-4
SSP585,Interactive,AFE,1,2023,-1.8631551069925312e-4,-0.0018816842638584214,-0.0016244878323089683,-0.0012378810049048505,-6.948096575561669e-4,-1.8038780424911582e-4,3.4224358185303005e-4,9.102217457162443e-4,0.0011819671960350052,0.001410223294724877
SSP585,Interactive,AFE,1,2024,-3.230025653311319e-4,-0.003219505101754064,-0.0028607543571600004,-0.002228300281923923,-0.0012227357191657573,-3.022082727721642e-4,5.852112632032669e-4,0.0015686574449812255,0.002003296829492573,0.002453161636151406
SSP585,Interactive,AFE,1,2025,-5.070399965672046e-4,-0.004975104620238685,-0.004420403952222812,-0.0034446439747319755,-0.0019150978200639657,-4.787404639109427e-4,9.288694889509896e-4,0.00242127387782638,0.0030512078459751894,0.0038376365400558604
SSP585,Interactive,AFE,1,2026,-7.903329686240745e-4,-0.00716336239658405,-0.006396350003489998,-0.0049997703242064765,-0.002823462744263816,-7.059835942031523e-4,0.001304602780813513,0.0034778877572065217,0.004296034338712214,0.005496111818746633
SSP585,Interactive,AFE,1,2027,-0.001102246778650784,-0.009790142284948886,-0.008613476318545683,-0.006809248355428366,-0.0039035055056152734,-9.665169659541228e-4,0.001696788284025863,0.004685438356573757,0.005871259377021153,0.007273908415645326
SSP585,Interactive,AFE,1,2028,-0.0014818507526286329,-0.012867519158826404,-0.011181134749647981,-0.00896926657421201,-0.005131989497474343,-0.0012954796530970092,0.002193742840826185,0.005985147466745677,0.0075611432048519715,0.00941952833240294
