ssp,spec,estimator,L,ISO_C3,delta_2100
SSP585,Direct,IFE,0,MDA,-0.26805597942845993
SSP585,Direct,IFE,0,MDG,-0.7042727240730837
SSP585,Direct,IFE,0,MEX,-0.7131601367531082
SSP585,Direct,IFE,0,MLI,-0.9344599313776131
SSP585,Direct,IFE,0,MMR,-0.8009070102273279
SSP585,Direct,IFE,0,MNG,4.407456217913911
SSP585,Direct,IFE,0,MOZ,-0.829477292268414
SSP585,Direct,IFE,0,MRT,-0.9234497012506788
SSP585,Direct,IFE,0,MUS,-0.5975194727417639
SSP585,Direct,IFE,0,MWI,-0.8070167313456027
SSP585,Direct,IFE,0,MYS,-0.7846318163264454
SSP585,Direct,IFE,0,NAM,-0.8582827278430726
SSP585,Direct,IFE,0,NER,-0.9169489539788664
SSP585,Direct,IFE,0,NGA,-0.857027229410869
SSP585,Direct,IFE,0,NIC,-0.8687366710428349
SSP585,Direct,IFE,0,NLD,-0.0341194797519383
SSP585,Direct,IFE,0,NOR,1.4005680141104815
SSP585,Direct,IFE,0,NPL,-0.43733393751617333
SSP585,Direct,IFE,0,NZL,-0.2778353867757918
SSP585,Direct,IFE,0,OMN,-0.9160331155302968
SSP585,Direct,IFE,0,PAK,-0.8482844150383366
SSP585,Direct,IFE,0,PAN,-0.805544779580272
SSP585,Direct,IFE,0,PER,-0.6338174922883633
SSP585,Direct,IFE,0,PHL,-0.7750816767505883
SSP585,Direct,IFE,0,PNG,-0.7332339491760684
SSP585,Direct,IFE,0,POL,0.15667889730371587
SSP585,Direct,IFE,0,PRI,-0.8895609029745861
SSP585,Direct,IFE,0,PRT,-0.5290975739656687
SSP585,Direct,IFE,0,PRY,-0.820309382257528
SSP585,Direct,IFE,0,QAT,-0.8134875776696543
SSP585,Direct,IFE,0,ROU,-0.1529617330016234
SSP585,Direct,IFE,0,RUS,1.440434960493
SSP585,Direct,IFE,0,SAU,-0.9229586242894758
SSP585,Direct,IFE,0,SDN,-0.9204701588825731
SSP585,Direct,IFE,0,SEN,-0.862267485034655
SSP585,Direct,IFE,0,SLB,-0.7714633056118358
SSP585,Direct,IFE,0,SLE,-0.8140197066632425
SSP585,Direct,IFE,0,SLV,-0.8975925038128499
SSP585,Direct,IFE,0,SRB,-0.3048590324373599
SSP585,Direct,IFE,0,SUR,-0.8827156654708256
SSP585,Direct,IFE,0,SVK,0.0705870074561119
SSP585,Direct,IFE,0,SWE,0.6904634631204061
SSP585,Direct,IFE,0,TCD,-0.897023532215359
SSP585,Direct,IFE,0,TGO,-0.8618516190775674
SSP585,Direct,IFE,0,THA,-0.8298241953990635
SSP585,Direct,IFE,0,TJK,0.28594309612396374
SSP585,Direct,IFE,0,TKM,-0.7147670256072018
SSP585,Direct,IFE,0,TTO,-0.8812296429730434
SSP585,Direct,IFE,0,TUN,-0.7408021742242992
SSP585,Direct,IFE,0,TUR,-0.43945495674155255
SSP585,Direct,IFE,0,TZA,-0.7474698153097108
SSP585,Direct,IFE,0,UGA,-0.7476489212514941
SSP585,Direct,IFE,0,UKR,-0.05335308903297842
SSP585,Direct,IFE,0,URY,-0.49689745824227916
SSP585,Direct,IFE,0,USA,-0.392849983800279
SSP585,Direct,IFE,0,UZB,-0.4408485546165912
SSP585,Direct,IFE,0,VCT,-0.880816440288477
SSP585,Direct,IFE,0,VNM,-0.7876160651016103
SSP585,Direct,IFE,0,VUT,-0.6965657532001088
SSP585,Direct,IFE,0,WSM,-0.8257164654939635
SSP585,Direct,IFE,0,YEM,-0.8481215169323926
SSP585,Direct,IFE,0,ZAF,-0.6481779843005044
SSP585,Direct,IFE,0,ZMB,-0.8096013198603468
SSP585,Direct,IFE,0,ZWE,-0.7939753117982449
SSP585,Direct,AFE,1,AFG,-0.003245475181752999
SSP585,Direct,AFE,1,AGO,-0.711267663755749
SSP585,Direct,AFE,1,ALB,-0.3450242818902636
SSP585,Direct,AFE,1,ARE,-0.8850897605989837
SSP585,Direct,AFE,1,ARG,-0.43190908625656144
SSP585,Direct,AFE,1,AUS,-0.4333691304362356
SSP585,Direct,AFE,1,AUT,0.3821636656934444
SSP585,Direct,AFE,1,AZE,-0.23678123650552174
SSP585,Direct,AFE,1,BEL,0.06230179109205447
SSP585,Direct,AFE,1,BEN,-0.803092523654207
SSP585,Direct,AFE,1,BFA,-0.8633312456734545
SSP585,Direct,AFE,1,BGD,-0.778302557824879
SSP585,Direct,AFE,1,BGR,-0.20168245857091083
SSP585,Direct,AFE,1,BHS,-0.5495248017415371
SSP585,Direct,AFE,1,BIH,-0.08724429012847557
SSP585,Direct,AFE,1,BLR,0.6648167589980691
SSP585,Direct,AFE,1,BLZ,-0.7939216074455313
SSP585,Direct,AFE,1,BOL,-0.4655757889113581
SSP585,Direct,AFE,1,BRA,-0.6838005507537952
SSP585,Direct,AFE,1,BRN,-0.8039420231367385
SSP585,Direct,AFE,1,BWA,-0.7722317301596621
SSP585,Direct,AFE,1,CAF,-0.7537218954147337
SSP585,Direct,AFE,1,CAN,0.9147805333050063
SSP585,Direct,AFE,1,CHE,0.5726934658447362
SSP585,Direct,AFE,1,CHL,-0.1405836863458102
SSP585,Direct,AFE,1,CHN,-0.19146087104450082
SSP585,Direct,AFE,1,CIV,-0.7642967085430112
SSP585,Direct,AFE,1,CMR,-0.7312838825418968
SSP585,Direct,AFE,1,COD,-0.728209386444526
SSP585,Direct,AFE,1,COG,-0.7293467576517927
SSP585,Direct,AFE,1,COL,-0.6834733440791507
SSP585,Direct,AFE,1,CPV,-0.44095693386445023
SSP585,Direct,AFE,1,CRI,-0.7454010475666042
SSP585,Direct,AFE,1,CUB,-0.7509393644107564
SSP585,Direct,AFE,1,CYP,-0.5704325053007537
SSP585,Direct,AFE,1,CZE,0.3194569150728186
SSP585,Direct,AFE,1,DEU,0.22493863686364812
SSP585,Direct,AFE,1,DNK,0.3212159411965365
SSP585,Direct,AFE,1,DOM,-0.7450112916010879
SSP585,Direct,AFE,1,DZA,-0.617547146728586
SSP585,Direct,AFE,1,ECU,-0.6947882051609389
SSP585,Direct,AFE,1,EGY,-0.7551986803190349
