ssp,spec,estimator,L,ISO_C3,delta_2100
SSP585,Direct,IFE,1,BWA,-0.7938790017452956
SSP585,Direct,IFE,1,CAF,-0.7623247014005567
SSP585,Direct,IFE,1,CAN,0.12713071589298086
SSP585,Direct,IFE,1,CHE,0.04247469414238281
SSP585,Direct,IFE,1,CHL,-0.2981230945111113
SSP585,Direct,IFE,1,CHN,-0.4255703571306083
SSP585,Direct,IFE,1,CIV,-0.7680843306349583
SSP585,Direct,IFE,1,CMR,-0.7430712114707428
SSP585,Direct,IFE,1,COD,-0.7425172114963783
SSP585,Direct,IFE,1,COG,-0.7404856532193543
SSP585,Direct,IFE,1,COL,-0.7067984020565213
SSP585,Direct,IFE,1,CPV,-0.45044581013287377
SSP585,Direct,IFE,1,CRI,-0.7388966269706048
