ssp,estimator,method,L,component,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975
SSP585,IFE,Joint analytic covariance,1,IE,2063,-0.009622613434132732,-0.02937262762765375,-0.02581851080463339,-0.022068385310912497,-0.015557269602951979,-0.008869445447637736,-0.002207870775277454,0.004483744251882984,0.00969233844760972,0.013616469129681268
SSP585,IFE,Joint analytic covariance,1,IE,2064,-0.00981419660327254,-0.03044975153124284,-0.026688282757962017,-0.022562205807748592,-0.015711052804511655,-0.008836977525801093,-0.001914343553136938,0.004966370867008424,0.01021768306396792,0.014392868745259987
SSP585,IFE,Joint analytic covariance,1,IE,2065,-0.009991985862743302,-0.031422605289909616,-0.027486670511158627,-0.02328381483389752,-0.016075988977305278,-0.008901046937657475,-0.0016416637934821565,0.0054717836631900905,0.01092586593321646,0.01539581080843423
SSP585,IFE,Joint analytic covariance,1,IE,2066,-0.010458357228839588,-0.03264587041502341,-0.028573447866869522,-0.024315135923442907,-0.01676023868535409,-0.009258451561028114,-0.0018332816301314947,0.0055400622499652726,0.011176439500362617,0.01575541266523648
SSP585,IFE,Joint analytic covariance,1,IE,2067,-0.010639372873062825,-0.03339053823952096,-0.029564756035363148,-0.02503858877883661,-0.01709882084145936,-0.009296970460650367,-0.001510078730769887,0.00622192413791669,0.012402274103425327,0.01668151607956168
SSP585,IFE,Joint analytic covariance,1,IE,2068,-0.010806886874259458,-0.034431798907056006,-0.030419886861968365,-0.025726434800536758,-0.017335144232063754,-0.009326005790504854,-0.0012772719796343701,0.006998506250842718,0.013356941077788712,0.017389214840424334
SSP585,IFE,Joint analytic covariance,1,IE,2069,-0.010960515636012191,-0.035290497213312254,-0.03144306122451329,-0.026391401247740108,-0.017651780129062794,-0.009331164630161204,-9.66156564702142e-4,0.007782537593799701,0.013845364422050243,0.018701744966960154
SSP585,IFE,Joint analytic covariance,1,IE,2070,-0.011099917920009084,-0.03589775138921622,-0.032356804933077354,-0.027208711875550518,-0.018048586381385318,-0.009431039498969895,-5.838047272538893e-4,0.008660129405711226,0.014451951009854557,0.02000847884487332
SSP585,IFE,Joint analytic covariance,1,IE,2071,-0.01161166263130764,-0.037045157297346865,-0.03348099541752781,-0.028050758596785207,-0.018654523545519386,-0.0098259869844598,-7.500804039510811e-4,0.008661009259014767,0.015053380828311144,0.02070198973714887
SSP585,IFE,Joint analytic covariance,1,IE,2072,-0.011755679867949342,-0.03800500794240845,-0.03470984185693444,-0.02850737513254252,-0.018853419021806206,-0.0098796121755238,-5.127377272397537e-4,0.009425199967822229,0.015769487037691796,0.022330762076023355
SSP585,IFE,Joint analytic covariance,1,IE,2073,-0.011886140530235068,-0.03895248328296221,-0.03521141914154338,-0.029173647938042488,-0.019121576696351117,-0.009904989256766028,-2.9397403194392213e-4,0.010411198076741977,0.016732827554089034,0.024013835292435764
SSP585,IFE,Joint analytic covariance,1,IE,2074,-0.012002863236063255,-0.04042924841371103,-0.03610024201610405,-0.029490665538889082,-0.019361301163206418,-0.00990094002321007,9.354788430504524e-5,0.011502314723080347,0.01807839335213184,0.025189875598383274
SSP585,IFE,Joint analytic covariance,1,IE,2075,-0.012105705205115891,-0.041487060345098956,-0.037026113014112016,-0.03011304785139234,-0.019691162184288485,-0.00991990807710369,5.060521738152468e-4,0.012369853401683372,0.0193851804490358,0.027475891249210162
SSP585,IFE,Joint analytic covariance,1,IE,2076,-0.012692710705422328,-0.04266236043080959,-0.03797547962095497,-0.031157034263312476,-0.020449830855532952,-0.010305313016495454,3.0368059265376e-4,0.012364584797621862,0.019787558462279062,0.027645660279320382
SSP585,IFE,Joint analytic covariance,1,IE,2077,-0.012806111225904249,-0.043864485844884275,-0.038631010921090225,-0.0313181294294009,-0.020724820288554907,-0.010239671787050264,5.685804223964364e-4,0.013465972181542149,0.021412918118507655,0.029610145999631216
SSP585,IFE,Joint analytic covariance,1,IE,2078,-0.012906589469906637,-0.0451057663436666,-0.039621946601500674,-0.031853676840706516,-0.020896541158742343,-0.010289347581964647,9.83942002524163e-4,0.014568937632718137,0.022598376496623756,0.03159561473601911
SSP585,IFE,Joint analytic covariance,1,IE,2079,-0.012994110163823458,-0.04633611018386694,-0.04010234297896369,-0.032455289933631504,-0.02119530219181004,-0.010170073563642912,0.0016550928160262157,0.015425665227831278,0.023518458258079567,0.033254573977695066
SSP585,IFE,Joint analytic covariance,1,IE,2080,-0.01306866945941021,-0.047828076293171984,-0.04102055000917001,-0.0328260837470703,-0.02148760044736417,-0.010023093047518472,0.0020523033267015045,0.016453841984880136,0.025264629510319263,0.03585597575528873
SSP585,IFE,Joint analytic covariance,1,IE,2081,-0.013740716206657844,-0.049438055997363055,-0.04207297616408264,-0.033644453056138064,-0.022124614655376268,-0.010579625872262965,0.0015639291194269322,0.01652974026326605,0.02596780837713223,0.035971146798558555
SSP585,IFE,Joint analytic covariance,1,IE,2082,-0.013824916883671157,-0.05051819124654893,-0.0431659403623546,-0.03406175749008546,-0.02231098257798314,-0.010445346165592229,0.0019245763953575357,0.017958962067804174,0.027547537653392802,0.0381020190470838
SSP585,IFE,Joint analytic covariance,1,IE,2083,-0.01389704434872785,-0.051034531247126536,-0.04384724525823904,-0.03468743633283391,-0.022480212580217485,-0.010104234474044405,0.0024563880316763043,0.018944512146779592,0.029170368642866134,0.03986597772912977
