spec,L,estimator,T_pct,T_val,P_val,dg_dT,se,t,p.value
Direct,3,AFE,10%,9.692860932,1.0846373155,-2.6994084496828434e-4,0.0036227878962439464,-0.0745119098051959,0.9406030648574936
Direct,3,AFE,50%,22.348519760000002,1.0846373155,-0.004351475323410173,0.00464849071487687,-0.9361049833839317,0.3492191374937731
Direct,3,AFE,90%,27.225545815,1.0846373155,-0.005924348791814795,0.006087573565140541,-0.9731872195745731,0.33046026157067937
Direct,3,IFE,10%,9.692860932,1.0846373155,0.0051425683800542825,0.002217741039022077,2.31883177051272,0.02040415981625925
Direct,3,IFE,50%,22.348519760000002,1.0846373155,-0.0019081607846553068,0.003660707483407737,-0.5212546463502208,0.6021893908018549
Direct,3,IFE,90%,27.225545815,1.0846373155,-0.004625252823116273,0.004999709657495056,-0.9251042840422872,0.3549116648633302
Direct,4,AFE,10%,9.692860932,1.0846373155,-7.234423559355657e-4,0.0040744945397865155,-0.17755389015037695,0.8590733393637545
Direct,4,AFE,50%,22.348519760000002,1.0846373155,-0.0034673840114445176,0.004928192876107609,-0.7035812312165693,0.48169360311652326
Direct,4,AFE,90%,27.225545815,1.0846373155,-0.004524798337256571,0.006367403756187456,-0.7106190388601707,0.4773203418222374
Direct,4,IFE,10%,9.692860932,1.0846373155,0.005714909624486617,0.0025750087506835506,2.219374836287279,0.026461234140848014
Direct,4,IFE,50%,22.348519760000002,1.0846373155,-0.0026529820811624777,0.004096203699096494,-0.6476684940613794,0.5171993859453154
Direct,4,IFE,90%,27.225545815,1.0846373155,-0.005877660181964154,0.005598041739971499,-1.0499493313878145,0.29374140898954954
Direct,5,AFE,10%,9.692860932,1.0846373155,-0.0036111950909241243,0.0038558796891689545,-0.936542470727979,0.34899395630469343
Direct,5,AFE,50%,22.348519760000002,1.0846373155,-0.002361868255699656,0.005923063846854053,-0.3987578585623599,0.6900716310685393
Direct,5,AFE,90%,27.225545815,1.0846373155,-0.0018804235826558498,0.007364402623317154,-0.25533959491867775,0.7984608208871722
Direct,5,IFE,10%,9.692860932,1.0846373155,-5.250697829046807e-4,0.0027665891352471965,-0.1897895774313324,0.8494740234631547
Direct,5,IFE,50%,22.348519760000002,1.0846373155,-0.005288859368138185,0.004164813043369145,-1.2698911843254643,0.2041233938067617
Direct,5,IFE,90%,27.225545815,1.0846373155,-0.007124648894663608,0.005626440323066913,-1.2662800075305938,0.2054128520189765
Interactive,0,AFE,10%,9.692860932,1.0846373155,0.0033676929707578914,0.0016862607754322845,1.997136516381673,0.045810355062935786
Interactive,0,AFE,50%,22.348519760000002,1.0846373155,-0.006647974074682811,0.0026333587337343,-2.524522766123659,0.011585550054740896
Interactive,0,AFE,90%,27.225545815,1.0846373155,-0.010507644266703822,0.0033507636218126887,-3.135895411512024,0.0017133029246553528
Interactive,0,IFE,10%,9.692860932,1.0846373155,0.0017445809772880867,0.0012868890395726874,1.3556576547325139,0.17520811842883993
Interactive,0,IFE,50%,22.348519760000002,1.0846373155,-0.00546543823657488,0.002137964976133405,-2.556374074218626,0.010576934624569235
Interactive,0,IFE,90%,27.225545815,1.0846373155,-0.00824391480906773,0.0028564285418701063,-2.8860917359656515,0.003900584459303092
Interactive,1,AFE,10%,9.692860932,1.0846373155,0.002360664093459923,0.002487741322807065,0.9489186322620742,0.3426619973721049
Interactive,1,AFE,50%,22.348519760000002,1.0846373155,-0.004589768788101075,0.0037661918063790914,-1.2186763245374352,0.22296706738619249
Interactive,1,AFE,90%,27.225545815,1.0846373155,-0.00726821032303763,0.004892292588202075,-1.4856450614922663,0.13737302931162554
Interactive,1,IFE,10%,9.692860932,1.0846373155,-4.3930785073702846e-5,0.0017140560839340932,-0.02562972442119462,0.9795526771935545
Interactive,1,IFE,50%,22.348519760000002,1.0846373155,-0.005651775148219903,0.0027204232641058184,-2.077535221372104,0.037752187946299025
Interactive,1,IFE,90%,27.225545815,1.0846373155,-0.007812832383022985,0.003664399845282581,-2.1320905776919923,0.03299940107115384
Interactive,2,AFE,10%,9.692860932,1.0846373155,0.001258987875550612,0.0029741104298571194,0.4233157797073109,0.6720648828859757
Interactive,2,AFE,50%,22.348519760000002,1.0846373155,-0.0028621643951018795,0.004096619453244855,-0.6986649425869452,0.4847614477649226
Interactive,2,AFE,90%,27.225545815,1.0846373155,-0.004450305105416123,0.0052897170651076755,-0.8413125032284754,0.4001728879375989
Interactive,2,IFE,10%,9.692860932,1.0846373155,-8.461000165895178e-5,0.001942924449804788,-0.04354775692253645,0.9652648960905427
Interactive,2,IFE,50%,22.348519760000002,1.0846373155,-0.005362450702516452,0.003070953706572173,-1.7461841547921177,0.08077895725857992
Interactive,2,IFE,90%,27.225545815,1.0846373155,-0.007396336647298143,0.004162210750770302,-1.77702117701015,0.0755647556204639
Interactive,3,AFE,10%,9.692860932,1.0846373155,-0.0015229249826894705,0.0036165468175314566,-0.4210992030593903,0.6736826434927882
Interactive,3,AFE,50%,22.348519760000002,1.0846373155,-0.00428438447864317,0.0047030403704968644,-0.9109818630348128,0.36230493004620895
Interactive,3,AFE,90%,27.225545815,1.0846373155,-0.005348549536711642,0.006086693322185118,-0.8787282771775197,0.37954862279594725
Interactive,3,IFE,10%,9.692860932,1.0846373155,0.004367715423527875,0.002349265539850276,1.8591833700528546,0.06300115118737862
Interactive,3,IFE,50%,22.348519760000002,1.0846373155,-0.0023091290925166246,0.0036369727114874476,-0.6349041567519043,0.5254909258769032
Interactive,3,IFE,90%,27.225545815,1.0846373155,-0.004882139720607245,0.004970562388314925,-0.9822107317442491,0.3259960416542571
Interactive,4,AFE,10%,9.692860932,1.0846373155,-0.002998479119820408,0.003977674778044029,-0.7538271193943291,0.4509530374261782
Interactive,4,AFE,50%,22.348519760000002,1.0846373155,-0.003636962622867844,0.004982676631917816,-0.7299214642126975,0.46543819135640896
Interactive,4,AFE,90%,27.225545815,1.0846373155,-0.0038830107126883997,0.006409720936404385,-0.6058002760517409,0.5446473864000348
Interactive,4,IFE,10%,9.692860932,1.0846373155,0.0045663287400570214,0.0027176671237451383,1.680238429555823,0.09291093508112162
Interactive,4,IFE,50%,22.348519760000002,1.0846373155,-0.0036243353594895425,0.0041213106409693015,-0.8794132923300162,0.37917722753864275
Interactive,4,IFE,90%,27.225545815,1.0846373155,-0.0067807164506788085,0.005646177714142893,-1.2009392537705736,0.22977476602369873
Interactive,5,AFE,10%,9.692860932,1.0846373155,-0.006287917161210492,0.004124729905577748,-1.5244433708756373,0.12739799286316436
Interactive,5,AFE,50%,22.348519760000002,1.0846373155,-0.002211191956434969,0.005956148935508239,-0.3712452425849703,0.7104548782845415
Interactive,5,AFE,90%,27.225545815,1.0846373155,-6.401718054510654e-4,0.00742242272050253,-0.08624836250335834,0.9312689861902909
Interactive,5,IFE,10%,9.692860932,1.0846373155,-0.001528557891751668,0.0029729415614463076,-0.5141567232852163,0.6071424219282677
Interactive,5,IFE,50%,22.348519760000002,1.0846373155,-0.005562869000164786,0.004162535931656665,-1.336413448796536,0.18141417291538287
Interactive,5,IFE,90%,27.225545815,1.0846373155,-0.007117544316330542,0.005643032441559739,-1.2612977844875273,0.20720157914437046
