ssp,spec,estimator,L,component,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975
SSP585,Interactive,AFE,1,IE,2023,4.906073719300741e-4,-1.898154717232453e-4,-9.677453244688605e-5,2.9799210576453332e-5,2.5629719864248e-4,4.949552650973521e-4,7.340237723570397e-4,9.277330223323221e-4,0.0010584104367448444,0.0011585152221323058
SSP585,Interactive,AFE,1,IE,2024,8.051684903683798e-4,-3.521525625618582e-4,-2.0097174786071204e-4,-1.2175923966295494e-5,3.960522970732905e-4,8.281887255413012e-4,0.0012380934015898681,0.0015762822514843846,0.0017945704738299595,0.001964252951929496
SSP585,Interactive,AFE,1,IE,2025,0.0011994469362489601,-5.98883069442524e-4,-3.294665478207781e-4,-5.995067253784514e-5,5.537804405270075e-4,0.0012288716739353167,0.001875870221503706,0.0023755088178781135,0.002733349199802426,0.0029870270980373584
SSP585,Interactive,AFE,1,IE,2026,0.0016606579725094717,-8.843218382764306e-4,-5.378316712774166e-4,-1.2858065800392938e-4,7.281511386485473e-4,0.0017134429809698148,0.0026441023974705935,0.0033111810183116376,0.003848140986086118,0.0042328422168664195
SSP585,Interactive,AFE,1,IE,2027,0.002215830569642918,-0.0012133316336997047,-8.055879737174973e-4,-2.0560686335474574e-4,9.475800734524142e-4,0.0022699027200148714,0.0035171495044140078,0.004456692154561314,0.005193581902922128,0.005688581419349073
SSP585,Interactive,AFE,1,IE,2028,0.00285645066470952,-0.0015858987858849566,-0.0011789056137819665,-3.04683024826935e-4,0.0011894220470803352,0.0029133253693868766,0.0045536381743268295,0.005776356687425965,0.006732059541642709,0.007341803529963188
SSP585,Interactive,AFE,1,IE,2029,0.0035846110050123947,-0.002044069465688003,-0.0015130453230048136,-3.897511023241984e-4,0.0014716378651036532,0.003651548927765258,0.005758520285538471,0.007274591794948581,0.00849191708328077,0.009263188890426714
SSP585,Interactive,AFE,1,IE,2030,0.004402312569134148,-0.0025580678262620395,-0.001818012810172681,-4.999526544564257e-4,0.001787800496316383,0.004460423278913772,0.007060106776927977,0.009007357804436367,0.0104588052531683,0.011430992442699057
SSP585,Interactive,AFE,1,IE,2031,0.005249438563546538,-0.0031926704121800487,-0.0023135299976728588,-6.762259560190718e-4,0.0020279058987689447,0.005316434084846611,0.008453105231469027,0.01073906887651831,0.012509030856267154,0.013769358318038194
SSP585,Interactive,AFE,1,IE,2032,0.0062342781211729426,-0.0038276114406565584,-0.002837068320974445,-8.172860862708073e-4,0.0023880964111239467,0.006342970388289737,0.010029163414074005,0.012733263517783379,0.01483810064903451,0.016428556851220272
SSP585,Interactive,AFE,1,IE,2033,0.007309935838353265,-0.004579243226216029,-0.0032629036543965254,-0.0010956153004605946,0.0027820707270879708,0.007477636369782215,0.011747736476460213,0.014947939256890409,0.017360406235988734,0.019231262772834865
SSP585,Interactive,AFE,1,IE,2034,0.00847740865851343,-0.005384791587173016,-0.003628089507171321,-0.001274609574112517,0.003194606777027459,0.008685987094784242,0.013500011508702336,0.017372401685907004,0.020072906104952933,0.022193223059988852
SSP585,Interactive,AFE,1,IE,2035,0.009737518963297664,-0.006095795937171244,-0.004174789753268552,-0.0013946220069453448,0.0036053169070383306,0.0099826472020772,0.015400763881211588,0.01999693844012028,0.023016087162648594,0.025539833636620816
SSP585,Interactive,AFE,1,IE,2036,0.010954963289976916,-0.00702412324704264,-0.0050754108482864374,-0.0015280138365260983,0.0039664931921623015,0.011173183407587772,0.017274244830933594,0.022527867937015993,0.026237052144083915,0.02883267442171438
SSP585,Interactive,AFE,1,IE,2037,0.012374456524757216,-0.008159099726811319,-0.005864997196600064,-0.0018236762087179832,0.0044158378380445285,0.012515681113179022,0.019388798615399466,0.02545464808528176,0.02964007265792939,0.03229373916527833
SSP585,Interactive,AFE,1,IE,2038,0.01388316326001049,-0.0091686550879364,-0.006611278802633047,-0.002136836386675211,0.004860754203775769,0.013916025414286937,0.021682804243820214,0.02841822640258053,0.032964538015966945,0.036061573656404756
SSP585,Interactive,AFE,1,IE,2039,0.015480710452810409,-0.01023153425950491,-0.007268099113409398,-0.0024079450984237022,0.00542676397637476,0.015541931828158662,0.024124213070401607,0.03170784772137252,0.0365613785312294,0.04026234223124807
SSP585,Interactive,AFE,1,IE,2040,0.0171665020331625,-0.011378723076372879,-0.007913892898301566,-0.002650062464317958,0.006104564689819764,0.017292141444397002,0.026658000034277124,0.035030462952253504,0.040548448365463244,0.04471539783022686
SSP585,Interactive,AFE,1,IE,2041,0.018692321008325852,-0.012969338667372604,-0.009117774601348338,-0.003206116916150858,0.0066644724156351975,0.018697056237117482,0.0291976603516802,0.03815391822905685,0.04440260920292578,0.04901263875211486
SSP585,Interactive,AFE,1,IE,2042,0.020519238214951163,-0.014633559940032665,-0.010381023288522133,-0.0035625131615616853,0.007340299040635601,0.02032289422084954,0.031870934735739126,0.04184673661989043,0.048708840871432464,0.0533134853771093
SSP585,Interactive,AFE,1,IE,2043,0.02242768484256963,-0.01610352982889043,-0.01137099588191352,-0.003987751289308406,0.007787009540743739,0.022229887139973648,0.03468348327833656,0.045624469261372674,0.05308093964413153,0.05791509653763232
SSP585,Interactive,AFE,1,IE,2044,0.02441596295002768,-0.017512525087560907,-0.012395113570372096,-0.004456941222262122,0.008478066908652576,0.024161712533649293,0.037776129880671194,0.049551014956084966,0.057812486735458885,0.06277104801641699
SSP585,Interactive,AFE,1,IE,2045,0.02648214064002319,-0.018982089566893283,-0.013660893454995503,-0.004921242789503243,0.009266867320809113,0.02604401642255122,0.040849123949903005,0.05367818701388321,0.06281567229985568,0.06773139719525685
SSP585,Interactive,AFE,1,IE,2046,0.02822110045973858,-0.020962810436489655,-0.015278275034979572,-0.005885084287175544,0.009572501105448605,0.027768485704014467,0.04364349557634753,0.05745738397532818,0.0672231686366132,0.07241381303130145
SSP585,Interactive,AFE,1,IE,2047,0.030393150957292225,-0.022618740436580367,-0.016464536963111898,-0.006649528780732361,0.010108011175898435,0.029834007276365038,0.046817189325068426,0.061753286182454924,0.07195805308678405,0.07779544889479584
SSP585,Interactive,AFE,1,IE,2048,0.03263248957554199,-0.024343184750140648,-0.01764285764623358,-0.0068087520713928824,0.010761965901156717,0.03181380420073293,0.05028595938307995,0.06622116444311887,0.07729662965939095,0.08456497294595827
SSP585,Interactive,AFE,1,IE,2049,0.03493620846145229,-0.026138114035163227,-0.019203104983910414,-0.008010556880005723,0.011442208269824977,0.033854498092894036,0.053614923980620816,0.07089054344791063,0.08282946637915176,0.09028666078687371
SSP585,Interactive,AFE,1,IE,2050,0.037301189582773064,-0.028295949813493773,-0.020794713887361562,-0.009184555581040154,0.012122289891895455,0.036131131005044226,0.05683593631918016,0.07549652717654831,0.0880666902433734,0.0964644186204023
SSP585,Interactive,AFE,1,IE,2051,0.03912782586281349,-0.03159759590987839,-0.022944579151176186,-0.010262129695753961,0.012193302765784175,0.03793617812215888,0.059557635970940076,0.07949355693623536,0.09221396742952517,0.10198355637732955
SSP585,Interactive,AFE,1,IE,2052,0.04154448340393202,-0.03438402664982209,-0.024578577047572447,-0.011244555134204125,0.012812347043223565,0.039799417225920064,0.06312823116291993,0.08445579051479682,0.09802333978738766,0.1091667677253635
SSP585,Interactive,AFE,1,IE,2053,0.04400824529291747,-0.037359979118718474,-0.026792243773328346,-0.01255271356159281,0.013491027143343048,0.04173339952841448,0.06685785153481916,0.08906756977046154,0.10446924074427281,0.11548162796329066
SSP585,Interactive,AFE,1,IE,2054,0.046515291537756354,-0.03989960592995475,-0.02876110931581954,-0.013641367995652163,0.01422432513815175,0.0439309578155867,0.07031832902891696,0.09344782939375296,0.11023003265867315,0.12222695196019932
SSP585,Interactive,AFE,1,IE,2055,0.049061649248335226,-0.042445585853569126,-0.031043920167457516,-0.014886653253732974,0.015188115659675094,0.04634169580715658,0.07386286446054932,0.09777478086622551,0.11576008035318153,0.12859203524709106
SSP585,Interactive,AFE,1,IE,2056,0.05085704898655752,-0.0470732022652219,-0.03423248043278524,-0.015876943399638785,0.014853323062623686,0.04814983242788967,0.07673290790106496,0.10213674006650746,0.12161399979968812,0.1354533821904272
SSP585,Interactive,AFE,1,IE,2057,0.05340216427109945,-0.05026511176306124,-0.03664622374163106,-0.01755849606579142,0.015266547348155024,0.050287920110932416,0.08075359794270864,0.10776327622070644,0.1278085491050484,0.14338172035177765
SSP585,Interactive,AFE,1,IE,2058,0.05597134105304358,-0.05400103451028457,-0.03913898464943749,-0.019509420959794518,0.01553468862177848,0.0525234417458883,0.08421426261914278,0.11349534840779041,0.13416350119204293,0.15152433382986313
SSP585,Interactive,AFE,1,IE,2059,0.058560285521284006,-0.05732503094328994,-0.04177346363028573,-0.020358013161014474,0.015645325866251225,0.05466925399900968,0.0884487965455685,0.11897517901314489,0.14056175994055653,0.15775025529781717
SSP585,Interactive,AFE,1,IE,2060,0.06116462400875289,-0.06103595073522275,-0.04456242541076615,-0.022121674127266608,0.015938961371109478,0.05701017421568999,0.09202385011554337,0.1238955159160998,0.1469913346527314,0.1645720467916496
SSP585,Interactive,AFE,1,IE,2061,0.06278235526594855,-0.06682285906475346,-0.049458601571086794,-0.024311388498170786,0.015338124172647544,0.058131434877588484,0.09475871270977207,0.12890323025326245,0.15125121227553268,0.1690872803826953
SSP585,Interactive,AFE,1,IE,2062,0.06533345981348193,-0.07146860426715525,-0.052333432036027895,-0.027029406831822544,0.015600684700002976,0.06019803381281269,0.09851072342178588,0.13447277133833088,0.15645912818843896,0.1762086781770912
