ssp,estimator,method,L,component,year,point,q025,q05,q10,q25,q50,q75,q90,q95,q975,p_mitigate,panel
SSP585,AFE,Country resampling,0,IE,2064,0.02859898879524258,-0.00495208216188403,0.00243995416047229,0.00787592002243604,0.01747254636925946,0.02742545689196718,0.03815795016010434,0.04841936946046776,0.05590661299847992,0.06296605404938872,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2065,0.02979958180525666,-0.00501484006336521,0.00274902494917874,0.00835334221205445,0.01832234168671823,0.02873434263421975,0.03978822509914209,0.05072165787773758,0.05847754267249075,0.06604681804357232,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2066,0.0306722047970821,-0.0058724383742493,0.00233828339407812,0.00802864170152951,0.01868067084086327,0.02939986165612468,0.04105917761381175,0.05244491818664126,0.06102655582254395,0.06845469938727154,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2067,0.03187488966339391,-0.00570766904030221,0.00236250230773022,0.00835392118639857,0.01964723158800735,0.03068337740040733,0.04293378286328817,0.05502711123482689,0.06389714294397847,0.07091334110563367,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2068,0.03308301100983713,-0.00567918703393559,0.00257945020042279,0.00860796844900275,0.02036223216011673,0.03186995176958163,0.04482236071664733,0.05772732948948657,0.0669016995795889,0.07352790111436018,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2069,0.03429500569340993,-0.00589558564497681,0.00298657187678819,0.00903911636784585,0.02106512440473865,0.03311202832849375,0.04668587430425902,0.0603089856487349,0.06973015504304335,0.0758431245355972,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2070,0.03550931215415642,-0.00638348638499463,0.00305817511287113,0.00937004548404592,0.02188042932169312,0.03440735022176783,0.04830290868183801,0.06273056510877445,0.07295738494699351,0.0790556156300576,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2071,0.03633994931600703,-0.00726037709472005,0.00250391079743444,0.00896133994762372,0.02196629880394735,0.0349253248670271,0.04960257642726479,0.06509726661838111,0.07552544839009721,0.0819616756444514,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2072,0.03754233382219563,-0.00726640513010596,0.00226271387790345,0.00919384327788745,0.02284215814311174,0.03598064753411928,0.05129730722206624,0.06763782896382664,0.07881621641211467,0.0855919734039864,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2073,0.03874322561795818,-0.00749286320460117,0.00210314569447276,0.0094085703951961,0.02352533114753774,0.03715696735241358,0.05323410421661948,0.07037294510431799,0.08162001187963003,0.08883614190463904,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2074,0.03994121795231931,-0.00801261163655907,0.00190509712944026,0.00960485705283023,0.02422785246693376,0.03832846953785712,0.05540741230698931,0.07310723829241773,0.08499219902838824,0.09282064290117616,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2075,0.04113492910383609,-0.00828661066014727,0.00181854228230097,0.0099352889467309,0.02478261722048189,0.0395030884288784,0.05726824832362717,0.07613268524550687,0.0878715932507203,0.09669026139838947,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2076,0.04190196411926017,-0.00985640001718899,8.11066954919083e-4,0.00937408396218738,0.02467633928858423,0.04028230348842021,0.05850997151078613,0.07849577000395558,0.09072871689141768,0.10016074474774649,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2077,0.04306829390445199,-0.01000102703229383,8.023445683626749e-4,0.00947303892764516,0.02532208046933695,0.04143734839849516,0.06029345986735152,0.08144542436875431,0.09369192744763534,0.10423625927221816,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2078,0.04422714716101927,-0.01005460951560047,-9.299291534223776e-5,0.0097063328986771,0.02587966072040778,0.04254453820642961,0.0621931434278476,0.08411534252837082,0.0968129616935854,0.10843888756090334,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2079,0.04537735980261659,-0.01040263896525792,-3.5089537586833667e-5,0.0097723559344774,0.02639974718080759,0.04382868606190548,0.0643483095374453,0.08675065263006812,0.10000512561069008,0.11326302263779307,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2080,0.04651780734387434,-0.01077120811876466,5.0731042527982925e-6,0.01013478470417524,0.02701098899882068,0.04504042273072017,0.06610072205081832,0.0900986967848806,0.1033339603707853,0.11826555710111636,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2081,0.04721767174163105,-0.01279263357808631,-0.00119539962828339,0.00907306006627283,0.02695697842562447,0.04559790454585216,0.06720754702349874,0.09337839711853038,0.1067674336981938,0.12201251291192892,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2082,0.04832887743548308,-0.01434200605955402,-0.00191052368501727,0.00886171283342102,0.02729223385462459,0.04676596101010716,0.06911686332693534,0.09704812308439548,0.10976567634490896,0.1271304534992116,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2083,0.04942828256638065,-0.01475305585788679,-0.00204945980805584,0.00897351107936915,0.02789236135178832,0.048106064086128,0.07115101114212866,0.10052387927907731,0.1134540085777572,0.1325127980119525,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2084,0.05051499967591266,-0.0151922183518979,-0.00258761890615711,0.00907867586841145,0.02848406276721388,0.04910764194999728,0.07317613250114699,0.10385234236503928,0.11760497122209604,0.13799071187773512,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2085,0.051588186958218873,-0.01644017117906334,-0.00301191321502032,0.00899672695291283,0.02892111459261837,0.05004520705876975,0.07539009911682487,0.10715848070989424,0.12178197546036064,0.1426509120059204,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2086,0.05221067923732536,-0.01906691297063921,-0.00526182368950698,0.00781558757141904,0.02879136832359447,0.05047176144681609,0.07675115745973154,0.11009564309924426,0.12532723178622873,0.1480408279723985,0.894,L = 0
SSP585,AFE,Country resampling,0,IE,2087,0.05324799426681659,-0.02007123248471838,-0.00562119273442528,0.00740349297071866,0.02900420422071589,0.05150510346537901,0.07833492867925801,0.11265314482402312,0.13010417213489653,0.1535222213353806,0.894,L = 0
