ISO_C3,start,end,avg_level,trend_annual,Pvalue,avg_vol_withinYr,avg_vol_btwYr,inter_quartile,mad
LTU,5.966538853,7.809483413,6.887848554,0.036884329,1.21E-07,8.447124849,1.013468216,1.522785594,0.80796957
LUX,8.604166823,10.35000019,9.473446517,0.038421976,7.38E-12,6.524494156,0.878766513,1.354166847,0.737225909
LVA,5.452365269,7.3227759,6.446114145,0.037445447,1.15E-07,8.364787375,1.02755677,1.620908198,0.836253481
MAR,17.1322274,18.25208037,17.57197189,0.02823536,3.28E-13,5.190771539,0.621642568,0.99498938,0.531356028
MDA,9.613576847,11.16677489,10.12386542,0.032611391,1.18E-07,9.287489692,0.895436945,1.321934194,0.725309173
MDG,20.69875948,21.48604253,20.92672792,0.01786705,4.65E-13,2.207974184,0.394922808,0.562678475,0.326738884
MEX,19.24323202,20.16722219,19.63984342,0.020548944,9.83E-16,2.695962082,0.427949543,0.634726915,0.360439118
MKD,9.467152404,10.74632687,9.777371616,0.02842406,3.06E-11,7.890245016,0.66316284,1.106039859,0.559985922
MLI,27.84330807,28.80733065,28.3743801,0.019676284,1.64E-10,2.794424245,0.47112609,0.721064195,0.384408331
MMR,25.21192972,25.80337476,25.47840803,0.013098734,1.54E-09,2.438670812,0.326239961,0.45249812,0.265471299
MNE,9.975196551,11.52744049,10.41945146,0.033986644,3.71E-13,7.447313834,0.749301098,1.103596535,0.626755103
MNG,-1.932537499,-0.57421185,-1.120275274,0.03344873,2.23E-08,14.41094381,0.881167718,1.18819389,0.719338754
MOZ,23.59465467,24.48331587,23.97631527,0.02112323,1.19E-14,2.459737789,0.449606367,0.648040115,0.375039072
MRT,28.28079025,29.1768931,28.70752971,0.021121104,4.80E-10,3.413021958,0.514989534,0.7082104,0.424981646
MUS,22.93000043,24.33083367,23.45988743,0.025889829,2.43E-16,2.069124439,0.533246793,0.62916652,0.422977086
MWI,21.86787764,22.73074839,22.32713922,0.020712977,1.19E-12,2.405936293,0.462872567,0.70409016,0.388079222
MYS,25.50025404,26.59021651,26.02201872,0.024154873,8.62E-22,0.47068649,0.462863518,0.81212206,0.400352859
NAM,20.66358341,21.77474765,21.29109889,0.027119302,1.09E-12,3.562503291,0.605446655,0.8205791,0.498482457
NCL,21.88833351,22.47527123,22.19394473,0.012983941,8.97E-07,2.308595685,0.378257921,0.47718566,0.29879227
NER,28.26540787,29.21789852,28.72550511,0.020646536,3.91E-11,3.492021449,0.483456136,0.711020815,0.409999082
NGA,26.54907337,27.31061049,26.86357718,0.017932635,1.52E-11,1.573867398,0.414224617,0.598993675,0.332286671
NIC,24.76863797,25.61755567,25.19602965,0.019169803,1.20E-13,0.870266674,0.417492614,0.672512565,0.346178602
NLD,9.06729359,10.62614343,9.865072515,0.035518979,6.30E-10,5.634528875,0.870221071,1.327466098,0.7300486
NOR,3.929868845,5.330134001,4.72988363,0.030370066,8.64E-07,6.882526006,0.883720713,1.553762399,0.742824135
NPL,19.17288063,19.95036089,19.55643849,0.02037025,3.86E-11,5.31920118,0.476887999,0.703674285,0.388949666
NZL,12.94036673,13.58900145,13.23203061,0.010104262,0.001977488,3.382417857,0.439684025,0.671781845,0.367587011
OMN,25.4033634,26.37353973,25.69210401,0.020824987,2.98E-11,4.782901647,0.485684276,0.70320035,0.400299044
PAK,23.2451578,23.93207822,23.49080605,0.015708437,3.50E-06,7.302460487,0.479441531,0.65959535,0.399127279
PAN,25.37524701,25.99505956,25.56568329,0.013780244,1.42E-08,0.766320596,0.359322109,0.4566426,0.27998512
PER,15.70485286,16.17289929,15.91633877,0.00969224,0.004483433,1.211269808,0.456145753,0.566180385,0.363490051
PHL,25.77010121,26.50728102,26.14991847,0.015467429,3.58E-13,0.848035332,0.340876241,0.392521435,0.265127175
PNG,23.5771109,23.98850674,23.90504207,0.007011785,8.71E-05,0.561035089,0.246609145,0.262436435,0.185112681
POL,7.685215595,9.340651701,8.391309852,0.033159737,6.95E-08,7.683076764,0.898082585,1.172778804,0.720926983
PRI,24.1946534,24.92245675,24.47270647,0.014485775,3.07E-11,1.383082804,0.337987186,0.557473205,0.286603653
PRK,6.954596448,8.065832338,7.597881386,0.026161467,9.95E-10,11.64880542,0.646297233,1.034512856,0.540369672
PRT,15.30855673,16.26825,15.70137356,0.023394949,4.79E-12,4.356159749,0.532028238,0.8263088,0.446639303
PRY,22.41710052,22.53905575,22.20756962,0.007048487,0.067802882,3.842923105,0.505651114,0.6289058,0.397550694
PSE,19.1334636,20.53405178,19.48988599,0.032179231,3.45E-11,5.586453241,0.752096258,1.09849116,0.633248601
PYF,21.23083372,22.03750035,21.70790999,0.018987435,3.51E-16,1.129852784,0.392190348,0.508333525,0.318016855
QAT,26.94594373,28.42924873,27.43345546,0.033566668,4.18E-13,6.816576424,0.741048695,1.12401756,0.613183334
ROU,9.270544877,10.8581836,9.723888476,0.033359549,2.12E-09,8.683163625,0.835985663,1.11432627,0.673773401
RUS,3.313048534,4.946033988,4.102572026,0.03318514,3.76E-08,11.63426247,0.885150276,1.330261498,0.722617706
RWA,18.47662306,19.44641996,19.07407706,0.02766578,1.48E-13,0.518246064,0.603837446,0.79441842,0.507531071
SAU,25.28389822,26.75125317,25.83427369,0.032523054,5.44E-15,6.044956475,0.687305651,1.01804427,0.571202564
SDN,27.33358264,29.02250025,28.27911022,0.033020794,1.17E-15,3.090135064,0.688684434,1.04183692,0.55874964
SEN,26.43265239,27.01722411,26.58021299,0.01773399,8.54E-08,1.756849314,0.482843503,0.66818392,0.386689181
SLB,25.39691926,25.60833461,25.61905468,0.006638725,5.28E-04,0.596956397,0.260543026,0.276476415,0.198510767
SLE,25.97742038,26.77571817,26.34454304,0.017590822,4.57E-15,1.082408959,0.371167987,0.576997655,0.305824591
SLV,24.1138443,25.21847905,24.70394982,0.022918871,4.08E-18,0.923438651,0.458901936,0.737936085,0.387234861
SOM,27.2179937,28.04893371,27.60845677,0.016440954,1.55E-10,0.92200732,0.393295521,0.50422817,0.309178693
SRB,10.81756477,12.52966079,11.37388762,0.03616842,9.63E-12,8.294351964,0.830209815,1.062092885,0.671361531
SSD,26.5754804,28.24216198,27.67485705,0.037356206,1.03E-15,1.603035153,0.778293471,1.1415082,0.64568624
SUR,26.81065662,27.09521692,26.86843903,0.011739897,7.13E-06,0.691521207,0.368138919,0.4311147,0.278851077
SVK,7.219672772,8.917977246,7.900600722,0.033539012,3.28E-09,8.005676693,0.847767992,1.077530344,0.669055687
SVN,9.244292286,10.98153478,9.932962497,0.037617454,2.33E-13,7.314297339,0.825109539,1.261203639,0.685062862
SWE,5.142932564,6.629708096,5.947116349,0.031765344,2.47E-06,7.535215995,0.957393657,1.542890967,0.787998828
SWZ,19.77900744,20.9754959,20.25689443,0.024480515,1.07E-12,2.973526153,0.54638254,0.85241369,0.452888759
SYR,16.88258216,17.99221838,17.07464191,0.026242362,2.07E-07,8.066961057,0.731703167,1.10351339,0.587316527
TCD,27.45280701,28.36672966,27.85553632,0.022378401,4.70E-13,2.516662665,0.494699505,0.684174565,0.412985182
TGO,26.67485573,27.47568005,26.97271319,0.018812007,1.38E-09,1.450931909,0.467593694,0.721893185,0.387531896
THA,26.96473,27.6923277,27.26181618,0.016205991,6.22E-08,1.816369549,0.437686855,0.66702569,0.366526076
TJK,10.84711291,11.98069601,11.38247768,0.02607152,7.78E-08,9.256354499,0.708140382,1.045334035,0.556734326
TKM,14.5128873,15.79485699,15.06346655,0.030506536,3.97E-08,10.36694631,0.814813898,0.98108685,0.619619866
TLS,24.73075012,25.16207899,25.04284639,0.009636628,0.00235086,0.874237447,0.425878218,0.52998533,0.338954626
TTO,25.65342855,26.44674612,26.02117381,0.01670529,4.74E-11,0.703952443,0.39230062,0.57293241,0.322631203
TUN,18.2773097,19.72507506,18.93484524,0.035015681,1.76E-17,6.413032287,0.707799794,1.301985405,0.62415737
TUR,12.69965117,13.70155433,12.8013195,0.023143115,5.01E-06,7.846020916,0.715853842,1.123003705,0.574803956
TZA,22.31671983,23.32714914,22.82920753,0.024416448,1.18E-17,0.960700197,0.492225541,0.735183815,0.430316632
UGA,21.85984929,23.15049265,22.6214786,0.03156935,1.57E-16,0.755445476,0.648094393,0.86793313,0.543354871
UKR,8.255265505,9.922165709,8.81723318,0.033761078,1.99E-07,9.521234067,0.940339656,1.379341236,0.76306725
URY,16.91935531,17.49908773,17.14533103,0.011646224,1.46E-05,4.591161486,0.376093789,0.473994705,0.291308752
USA,12.71046475,13.96587606,13.22901122,0.023771379,5.33E-11,8.291449908,0.559217177,0.76573873,0.457372481
UZB,12.70417473,13.95617688,13.26591255,0.029577251,2.02E-08,10.14706318,0.777436087,0.998182945,0.599314496
VCT,26.62333372,27.59250032,27.11610207,0.020824566,1.53E-15,1.009220122,0.435290291,0.683333715,0.364435497
VEN,24.62551724,25.45776321,24.94087785,0.019541106,1.35E-11,0.569060721,0.450613802,0.626731385,0.375520759
VIR,25.64750031,26.42000036,25.9944919,0.015816775,6.03E-13,1.23415943,0.350654884,0.56249992,0.305036909
VNM,25.08845222,25.79195467,25.42107665,0.016247494,3.19E-09,2.909347443,0.410455639,0.59296814,0.340201204
VUT,23.38471286,24.06579522,23.88198225,0.013957855,4.83E-08,1.299884454,0.374598182,0.418873435,0.278184749
WSM,26.80500034,27.58500042,27.20819245,0.023329925,2.43E-14,0.603351433,0.499938918,0.795833505,0.432610372
YEM,20.48717548,21.62730529,21.04567523,0.022081678,7.49E-16,3.320775622,0.458853038,0.63825825,0.370844311
ZAF,17.70684216,18.81866941,18.13233724,0.023198784,1.45E-12,3.761448627,0.519698648,0.805908395,0.430388405
ZMB,21.23152157,22.1730428,21.81772495,0.024906002,6.13E-13,2.626771067,0.552264473,0.925683075,0.467665518
ZWE,20.14579614,21.11366011,20.66444613,0.026618804,1.15E-12,3.181406038,0.594651926,0.973265405,0.506763129
