="",="(1)",="",="",=""
="",="logd_gdp",="",="",=""
="56.country_id#c.trend",="0.0000",="(.)",=".",="."
="57.country_id#c.trend",="0.0000",="(.)",=".",="."
="58.country_id#c.trend",="0.0000",="(.)",=".",="."
="59.country_id#c.trend",="11.9578",="(13.3063)",="0.90",="0.369"
="60.country_id#c.trend",="0.0000",="(.)",=".",="."
="61.country_id#c.trend",="38.8678",="(42.5429)",="0.91",="0.361"
="62.country_id#c.trend",="-4.4066",="(10.8897)",="-0.40",="0.686"
="63.country_id#c.trend",="0.0000",="(.)",=".",="."
="64.country_id#c.trend",="56.2598",="(64.1050)",="0.88",="0.380"
="65.country_id#c.trend",="7.7403",="(9.1586)",="0.85",="0.398"
="66.country_id#c.trend",="-1.2900",="(1.9674)",="-0.66",="0.512"
="67.country_id#c.trend",="0.0000",="(.)",=".",="."
="68.country_id#c.trend",="-13.7512",="(14.2239)",="-0.97",="0.334"
="69.country_id#c.trend",="0.0000",="(.)",=".",="."
="70.country_id#c.trend",="-15.1349",="(17.2991)",="-0.87",="0.382"
="71.country_id#c.trend",="0.9502",="(5.2482)",="0.18",="0.856"
="72.country_id#c.trend",="0.0000",="(.)",=".",="."
="73.country_id#c.trend",="0.0000",="(.)",=".",="."
="74.country_id#c.trend",="-13.6607",="(15.3712)",="-0.89",="0.374"
="75.country_id#c.trend",="-2.9854",="(19.8548)",="-0.15",="0.880"
="76.country_id#c.trend",="22.4876",="(24.0234)",="0.94",="0.349"
="77.country_id#c.trend",="-15.2292",="(17.3817)",="-0.88",="0.381"
="78.country_id#c.trend",="-28.1311",="(29.4387)",="-0.96",="0.339"
="79.country_id#c.trend",="-12.7920",="(15.0401)",="-0.85",="0.395"
="80.country_id#c.trend",="0.0000",="(.)",=".",="."
="81.country_id#c.trend",="-11.6807",="(16.1863)",="-0.72",="0.471"
="82.country_id#c.trend",="6.6474",="(7.3194)",="0.91",="0.364"
="83.country_id#c.trend",="-12.1698",="(14.1392)",="-0.86",="0.389"
="84.country_id#c.trend",="6.7768",="(11.7679)",="0.58",="0.565"
="85.country_id#c.trend",="0.0000",="(.)",=".",="."
="86.country_id#c.trend",="0.0000",="(.)",=".",="."
="87.country_id#c.trend",="0.0000",="(.)",=".",="."
="88.country_id#c.trend",="0.0000",="(.)",=".",="."
="89.country_id#c.trend",="5.5303",="(5.7456)",="0.96",="0.336"
="90.country_id#c.trend",="0.0000",="(.)",=".",="."
="91.country_id#c.trend",="-4.4964",="(12.6572)",="-0.36",="0.722"
="92.country_id#c.trend",="-27.4098",="(33.7697)",="-0.81",="0.417"
="93.country_id#c.trend",="0.0000",="(.)",=".",="."
="94.country_id#c.trend",="-3.1265",="(11.0902)",="-0.28",="0.778"
="95.country_id#c.trend",="0.0000",="(.)",=".",="."
="96.country_id#c.trend",="0.0000",="(.)",=".",="."
="97.country_id#c.trend",="0.0000",="(.)",=".",="."
="98.country_id#c.trend",="3.0188",="(19.5566)",="0.15",="0.877"
="99.country_id#c.trend",="1.4999",="(3.9001)",="0.38",="0.701"
="100.country_id#c.trend",="10.6774",="(10.2195)",="1.04",="0.296"
="101.country_id#c.trend",="14.9780",="(16.8951)",="0.89",="0.375"
="102.country_id#c.trend",="0.0000",="(.)",=".",="."
="103.country_id#c.trend",="9.4841",="(11.2853)",="0.84",="0.401"
="104.country_id#c.trend",="-29.1877",="(31.0288)",="-0.94",="0.347"
="105.country_id#c.trend",="0.0000",="(.)",=".",="."
="106.country_id#c.trend",="-24.1121",="(26.2803)",="-0.92",="0.359"
="107.country_id#c.trend",="-6.9455",="(11.6485)",="-0.60",="0.551"
="108.country_id#c.trend",="3.1895",="(8.9440)",="0.36",="0.721"
="109.country_id#c.trend",="0.0000",="(.)",=".",="."
="110.country_id#c.trend",="-1.1987",="(2.2157)",="-0.54",="0.589"
="111.country_id#c.trend",="-16.8257",="(20.9246)",="-0.80",="0.421"
="112.country_id#c.trend",="16.2188",="(22.5327)",="0.72",="0.472"
="113.country_id#c.trend",="-11.3291",="(16.0906)",="-0.70",="0.481"
="114.country_id#c.trend",="0.0000",="(.)",=".",="."
="115.country_id#c.trend",="-5.0189",="(6.4731)",="-0.78",="0.438"
="116.country_id#c.trend",="-0.6831",="(1.0266)",="-0.67",="0.506"
="117.country_id#c.trend",="-1.7496",="(15.7958)",="-0.11",="0.912"
="118.country_id#c.trend",="0.0000",="(.)",=".",="."
="119.country_id#c.trend",="1.8106",="(2.7153)",="0.67",="0.505"
="120.country_id#c.trend",="0.0000",="(.)",=".",="."
="121.country_id#c.trend",="0.0000",="(.)",=".",="."
="122.country_id#c.trend",="-8.7347",="(12.1453)",="-0.72",="0.472"
="1.country_id#c.trend2",="0.0855",="(0.1727)",="0.49",="0.621"
="2.country_id#c.trend2",="-0.0938",="(0.2833)",="-0.33",="0.741"
="3.country_id#c.trend2",="0.0000",="(.)",=".",="."
="4.country_id#c.trend2",="0.0000",="(.)",=".",="."
="5.country_id#c.trend2",="-0.8984",="(1.0028)",="-0.90",="0.370"
="6.country_id#c.trend2",="0.0000",="(.)",=".",="."
="7.country_id#c.trend2",="0.6164",="(0.7740)",="0.80",="0.426"
="8.country_id#c.trend2",="0.0000",="(.)",=".",="."
="9.country_id#c.trend2",="0.0000",="(.)",=".",="."
="10.country_id#c.trend2",="0.7380",="(0.8385)",="0.88",="0.379"
="11.country_id#c.trend2",="0.4950",="(0.5395)",="0.92",="0.359"
="12.country_id#c.trend2",="0.0000",="(.)",=".",="."
="13.country_id#c.trend2",="-1.3284",="(1.6123)",="-0.82",="0.410"
="14.country_id#c.trend2",="-0.2025",="(0.4047)",="-0.50",="0.617"
="15.country_id#c.trend2",="0.0003",="(0.0004)",="0.91",="0.362"
="16.country_id#c.trend2",="2.3417",="(2.7331)",="0.86",="0.392"
="17.country_id#c.trend2",="-0.2437",="(0.3056)",="-0.80",="0.425"
="18.country_id#c.trend2",="0.0000",="(.)",=".",="."
="19.country_id#c.trend2",="0.0000",="(.)",=".",="."
="20.country_id#c.trend2",="0.1131",="(0.2203)",="0.51",="0.608"
="21.country_id#c.trend2",="-3.4038",="(3.9797)",="-0.86",="0.392"
="22.country_id#c.trend2",="-0.6564",="(0.7519)",="-0.87",="0.383"
="23.country_id#c.trend2",="0.4849",="(0.6479)",="0.75",="0.454"
="24.country_id#c.trend2",="0.6324",="(0.9444)",="0.67",="0.503"
="25.country_id#c.trend2",="-1.1125",="(1.3200)",="-0.84",="0.399"
="26.country_id#c.trend2",="0.0000",="(.)",=".",="."
="27.country_id#c.trend2",="0.6213",="(0.7955)",="0.78",="0.435"
="28.country_id#c.trend2",="0.7008",="(0.7725)",="0.91",="0.364"
="29.country_id#c.trend2",="0.0612",="(0.4707)",="0.13",="0.897"
="30.country_id#c.trend2",="0.0000",="(.)",=".",="."
="31.country_id#c.trend2",="0.2446",="(0.4440)",="0.55",="0.582"
="32.country_id#c.trend2",="-0.1123",="(0.3157)",="-0.36",="0.722"
="33.country_id#c.trend2",="3.4996",="(4.0824)",="0.86",="0.391"
="34.country_id#c.trend2",="0.0000",="(.)",=".",="."
="35.country_id#c.trend2",="0.4458",="(0.4438)",="1.00",="0.315"
="36.country_id#c.trend2",="0.2131",="(0.2971)",="0.72",="0.473"
="37.country_id#c.trend2",="-1.6308",="(1.8314)",="-0.89",="0.373"
="38.country_id#c.trend2",="0.0000",="(.)",=".",="."
="39.country_id#c.trend2",="-0.6767",="(0.6478)",="-1.04",="0.296"
="40.country_id#c.trend2",="0.0000",="(.)",=".",="."
="41.country_id#c.trend2",="-1.4058",="(1.6365)",="-0.86",="0.390"
="42.country_id#c.trend2",="0.9584",="(1.1181)",="0.86",="0.391"
="43.country_id#c.trend2",="-0.7479",="(0.9183)",="-0.81",="0.415"
="44.country_id#c.trend2",="-0.2261",="(0.3146)",="-0.72",="0.472"
="45.country_id#c.trend2",="-0.5782",="(0.7660)",="-0.75",="0.450"
="46.country_id#c.trend2",="-0.0450",="(0.0988)",="-0.46",="0.649"
="47.country_id#c.trend2",="0.9425",="(1.1442)",="0.82",="0.410"
="48.country_id#c.trend2",="0.0000",="(.)",=".",="."
="49.country_id#c.trend2",="-1.4732",="(1.9274)",="-0.76",="0.445"
="50.country_id#c.trend2",="-0.3959",="(0.6134)",="-0.65",="0.519"
="51.country_id#c.trend2",="2.4587",="(2.8822)",="0.85",="0.394"
="52.country_id#c.trend2",="-0.2795",="(0.3605)",="-0.78",="0.438"
="53.country_id#c.trend2",="-0.0192",="(0.0242)",="-0.79",="0.429"
="54.country_id#c.trend2",="-0.3198",="(0.4030)",="-0.79",="0.427"
="55.country_id#c.trend2",="-0.1580",="(0.3251)",="-0.49",="0.627"
="56.country_id#c.trend2",="-2.7693",="(3.2378)",="-0.86",="0.392"
="57.country_id#c.trend2",="0.0000",="(.)",=".",="."
="58.country_id#c.trend2",="1.2658",="(1.3675)",="0.93",="0.355"
="59.country_id#c.trend2",="-0.2174",="(0.2738)",="-0.79",="0.427"
="60.country_id#c.trend2",="0.0000",="(.)",=".",="."
="61.country_id#c.trend2",="-1.8571",="(2.0818)",="-0.89",="0.372"
="62.country_id#c.trend2",="0.0666",="(0.1645)",="0.41",="0.685"
="63.country_id#c.trend2",="0.0000",="(.)",=".",="."
="64.country_id#c.trend2",="-1.0978",="(1.2565)",="-0.87",="0.382"
="65.country_id#c.trend2",="-0.1409",="(0.1658)",="-0.85",="0.395"
="66.country_id#c.trend2",="0.0100",="(0.0303)",="0.33",="0.742"
="67.country_id#c.trend2",="0.0000",="(.)",=".",="."
="68.country_id#c.trend2",="0.8948",="(0.9158)",="0.98",="0.329"
="69.country_id#c.trend2",="0.0000",="(.)",=".",="."
="70.country_id#c.trend2",="-0.1217",="(0.2597)",="-0.47",="0.639"
="71.country_id#c.trend2",="-1.1725",="(1.3289)",="-0.88",="0.378"
="72.country_id#c.trend2",="0.0000",="(.)",=".",="."
="73.country_id#c.trend2",="-0.1147",="(0.1572)",="-0.73",="0.466"
="74.country_id#c.trend2",="1.5070",="(1.7330)",="0.87",="0.385"
="75.country_id#c.trend2",="0.0409",="(0.2558)",="0.16",="0.873"
="76.country_id#c.trend2",="-1.8625",="(2.0851)",="-0.89",="0.372"
="77.country_id#c.trend2",="0.7821",="(0.9501)",="0.82",="0.410"
="78.country_id#c.trend2",="0.8043",="(0.8410)",="0.96",="0.339"
="79.country_id#c.trend2",="1.6243",="(1.9059)",="0.85",="0.394"
="80.country_id#c.trend2",="0.0000",="(.)",=".",="."
="81.country_id#c.trend2",="0.0000",="(.)",=".",="."
="82.country_id#c.trend2",="-0.1566",="(0.2945)",="-0.53",="0.595"
