item,estimate,std.error,t.stat,p.value,pval.symbol,bootstrap
tmp2_pre2,-4.2120908623031114e-5,4.535597589127449e-5,-0.9286738471684889,0.3530581382215323, ,11
T_1,-0.006737541278502667,0.0077362448940692125,-0.8709058943658602,0.38380553812877705, ,11
T_2,-0.006935219315659757,0.007649494437760141,-0.9066245321292721,0.3646053842329846, ,11
tmp,0.012945548149712676,0.0027576935060895937,4.6943389905825494,2.6747017911463387e-6,***,12
tmp2,-4.906864227977763e-4,9.434835532193923e-5,-5.200794662752059,1.984382414113665e-7,***,12
pre,0.14925585166738842,0.05166233398551838,2.889065207724195,0.003863889399836958,***,12
pre2,-0.10937906470160708,0.03180361153746338,-3.439202638126897,5.834303460669812e-4,***,12
tmp_pre,-0.010228182650159512,0.00457810976160065,-2.234149721780244,0.025473223349296387,**,12
tmp2_pre,1.8316053710852308e-4,1.1839925737591781e-4,1.5469736987199854,0.12186958795185522, ,12
pre2_tmp,0.008461524773888434,0.0027061637142601854,3.1267601177638498,0.00176744074937906,***,12
tmp2_pre2,-1.6594321824447232e-4,6.0356420974112547e-5,-2.749387978383393,0.005970666755311189,***,12
T_1,-8.223747074283071e-4,0.0015364582899870512,-0.5352405026466666,0.592483562354752, ,12
T_2,-0.0034518705838467614,0.0021676434681933226,-1.5924531107155784,0.11128293077685183, ,12
tmp,0.009629215870092106,0.003533841133099303,2.7248581663451703,0.0064329115058658305,***,13
tmp2,-3.927507600917271e-4,1.186008955473577e-4,-3.3115328369076313,9.278634979187227e-4,***,13
pre,0.07912224758083411,0.04639086247223044,1.7055567274308958,0.08809064192931285,*,13
pre2,-0.05286867690014431,0.02397685556589959,-2.204987920740337,0.027454942171530064,**,13
tmp_pre,-0.0064262365710652455,0.004295698898426172,-1.4959699743898822,0.13466147978523577, ,13
tmp2_pre,1.5745410006552695e-4,1.156456947769463e-4,1.3615215021122866,0.1733489431788917, ,13
pre2_tmp,0.0040487715639633244,0.0020437237386193062,1.9810757625678819,0.04758277791013036,**,13
tmp2_pre2,-8.394336477447182e-5,4.634095714928966e-5,-1.8114292396690073,0.07007443321766654,*,13
T_1,-0.006661742170282754,0.005454656534345491,-1.2212945266740067,0.22197452499687376, ,13
T_2,-2.878972756015704e-4,0.002318530063915173,-0.12417232801174646,0.9011788316925107, ,13
tmp,0.009961262377358025,0.003298068037265971,3.0203325901110585,0.0025249725031016826,***,14
tmp2,-2.4747339451055135e-4,1.0716734634871087e-4,-2.3092238722166347,0.020931161527791602,**,14
pre,0.07805721690674852,0.04599929415106543,1.696922058203812,0.08971139710876061,*,14
pre2,-0.051544155093306225,0.022337434998838182,-2.3075234509238483,0.021025656441207147,**,14
tmp_pre,-0.0026156867534554277,0.003986792374934364,-0.6560880295399106,0.5117674859889441, ,14
tmp2_pre,6.586883580927804e-6,1.1046307593357727e-4,0.05962973170228008,0.952450538020809, ,14
pre2_tmp,0.003057956224532343,0.001831461983395228,1.6696804259422284,0.09498260850806159,*,14
tmp2_pre2,-4.642058090125181e-5,4.187217405108446e-5,-1.1086260017122171,0.26759155631990955, ,14
T_1,-0.011920916311496882,0.00860497096279764,-1.3853522996225387,0.16594476902361574, ,14
T_2,-0.011990588406286362,0.008655911435859297,-1.385248508506259,0.16597649260907751, ,14
tmp,0.005928340175191021,0.003669397577114934,1.6156167465102493,0.10617720091635266, ,15
tmp2,-2.1487952192927954e-4,1.1467417189450124e-4,-1.8738266723823906,0.060954318856561655,*,15
pre,0.08861650840964137,0.05305975790115988,1.670126512350789,0.0948943356622402,*,15
pre2,-0.06230172933335345,0.024395445926546275,-2.553826214980513,0.010654642028332236,**,15
tmp_pre,-0.004053038768008409,0.005012136095943575,-0.8086449949530734,0.4187193756451402, ,15
tmp2_pre,4.7281566133693294e-5,1.3652158173545607e-4,0.34633034229938003,0.729094468072639, ,15
pre2_tmp,0.004610067615008909,0.002121336172725772,2.1731904986493897,0.029765982597540753,**,15
tmp2_pre2,-9.243515617083979e-5,5.066071505324082e-5,-1.824592409990601,0.06806255964717862,*,15
T_1,-0.0011551758900828614,0.003038039127166987,-0.3802373312947021,0.7037692502357985, ,15
T_2,-0.001199966172699926,0.0023766557906854994,-0.5048969133026282,0.6136312422211764, ,15
tmp,0.019189456865128577,0.005582493115758287,3.4374349358283114,5.872517881567724e-4,***,16
tmp2,-6.405850655091426e-4,1.614294849872544e-4,-3.9682036126158726,7.241644960012253e-5,***,16
pre,0.07105212080227849,0.07728171982489611,0.9193910405108406,0.35789107391255714, ,16
pre2,-0.026694689722148158,0.03144013087942903,-0.8490642047426791,0.39584556702005097, ,16
tmp_pre,-0.010067587168873389,0.00792678256317078,-1.2700723261477063,0.20405886820370678, ,16
tmp2_pre,3.4633014851488545e-4,2.041522905657524e-4,1.6964303831964163,0.0898044038067072,*,16
pre2_tmp,0.003291844655012074,0.0029381743638804535,1.1203707633826494,0.26255579841375853, ,16
tmp2_pre2,-1.0137507666076419e-4,7.015259713316411e-5,-1.4450651979189504,0.14843957327097232, ,16
T_1,-0.00795705335531456,0.006713220894372594,-1.185281026874092,0.23590635254728068, ,16
T_2,-0.007694149574361164,0.0066895134409667234,-1.1501807481605504,0.25006943380775054, ,16
tmp,0.022410122105028178,0.0051576090969003355,4.345060217629988,1.392374618042522e-5,***,17
tmp2,-7.218666547316478e-4,1.459536913156563e-4,-4.945860897553154,7.580808008524094e-7,***,17
pre,0.07488614415366822,0.07117611258416934,1.0521246726577205,0.29274235370690227, ,17
pre2,-0.02997085215615766,0.028619088494704265,-1.0472329390121398,0.2949921568503205, ,17
tmp_pre,-0.009756770270565915,0.007586947109163233,-1.2859942385497916,0.1984450724206192, ,17
tmp2_pre,3.340351723079255e-4,1.946450711449155e-4,1.7161244841346766,0.08613926084604298,*,17
pre2_tmp,0.002688296147586084,0.0028717261486875994,0.9361255246481828,0.3492085625382799, ,17
tmp2_pre2,-7.572713235797286e-5,6.983045093775776e-5,-1.0844428374874884,0.2781684989653533, ,17
T_1,2.182679381506181e-4,0.007607535081019424,0.028691019604390675,0.9771110187383933, ,17
T_2,-6.729476043472235e-4,0.003097314972058139,-0.21726805649993539,0.8279994497101549, ,17
tmp,0.027902814814293922,0.004918385454767815,5.673165527774021,1.4018265690805977e-8,***,18
tmp2,-9.673887273996902e-4,1.4417763322111064e-4,-6.709700428471482,1.9502437548301518e-11,***,18
pre,0.2709547424170783,0.0705432000200677,3.840976059209091,1.2254606720234112e-4,***,18
pre2,-0.13360057491639118,0.03135466026020376,-4.260947935894585,2.0356165468213028e-5,***,18
tmp_pre,-0.030607007305712364,0.007021088992828785,-4.35929630531301,1.3048134223294117e-5,***,18
tmp2_pre,8.629255142964869e-4,1.817794726078322e-4,4.747100989549832,2.063529336173215e-6,***,18
pre2_tmp,0.013540943219756393,0.0027756849174038513,4.8784151021080175,1.069416764495007e-6,***,18
tmp2_pre2,-3.411525154327851e-4,6.364803945296608e-5,-5.359984665118966,8.322901645686603e-8,***,18
T_1,-0.0034347942959325993,0.00263863819999561,-1.3017299211154882,0.19300872737009528, ,18
T_2,-4.603389118383658e-4,0.00173604671377643,-0.2651650489502028,0.7908823183146543, ,18
tmp,0.010859158929346623,0.003345314375776045,3.2460802512252735,0.0011700585118411247,***,19
tmp2,-4.3225215413697504e-4,1.101715265822768e-4,-3.923447078807303,8.729094688872501e-5,***,19
pre,0.07797259380294017,0.054368662485821444,1.4341458891558034,0.15153063484389456, ,19
pre2,-0.06163405462742819,0.03039267835739383,-2.0279244199099704,0.04256796238495494,**,19
tmp_pre,-0.009686133487583492,0.004775191408175044,-2.0284283203812525,0.04251655212528367,**,19
tmp2_pre,3.10779831311327e-4,1.2375325971807159e-4,2.5112860220355397,0.012029218813712628,**,19
pre2_tmp,0.0052025545569474455,0.002490641669811376,2.088841048476255,0.036722033955253294,**,19
tmp2_pre2,-1.1850183184116851e-4,5.397709724362672e-5,-2.1954094957405377,0.02813423656618927,**,19
T_1,-0.004575744947121714,0.005890569333888304,-0.776791628747592,0.4372817164799207, ,19
T_2,-0.004494994609064361,0.005977867967330008,-0.7519394261683624,0.4520874869589102, ,19
tmp,0.021840839424591408,0.0038437456168597065,5.682176085948973,1.3299162925792624e-8,***,20
tmp2,-7.695174934816987e-4,1.2410856503807647e-4,-6.200357672700599,5.633498540812995e-10,***,20
pre,0.19598010740653315,0.05901034602510492,3.3211143571867354,8.965879260059093e-4,***,20
pre2,-0.1066975744783358,0.029857841645024672,-3.5735193369583445,3.5221521990563576e-4,***,20
tmp_pre,-0.022481263368351594,0.005963692173629933,-3.7696887622333257,1.6345124933455488e-4,***,20
tmp2_pre,6.506256540273094e-4,1.6008801313193195e-4,4.064174708015864,4.8202711727678885e-5,***,20
pre2_tmp,0.010190845240567206,0.0025527551630463463,3.992096613137743,6.549167840849807e-5,***,20
tmp2_pre2,-2.498995401796202e-4,5.750366765914672e-5,-4.3458017610442,1.3876785399566056e-5,***,20
T_1,-0.006008679771854587,0.007976428810305075,-0.7533045069106273,0.45126695114444, ,20
T_2,9.88647686070572e-6,0.0015699588546027664,0.006297284054114407,0.9949755274864889, ,20
tmp,0.010971958333377687,0.0031126161110325208,3.524995676302034,4.2348970352329744e-4,***,21
tmp2,-4.572881844407513e-4,9.946433196104328e-5,-4.597509231951159,4.275716881606422e-6,***,21
pre,0.05137907159461759,0.04458749862053023,1.1523201162704426,0.2491895536452433, ,21
pre2,-0.03639033285870097,0.023746451324224434,-1.5324535174473901,0.1254105596655091, ,21
tmp_pre,-0.006310281778716091,0.0038101198523881065,-1.6561898373776702,0.0976833806403152,*,21
